#time;rejrate;cpu
1;0;157
100;0;188
200;0;206
300;0;327
400;0;348
500;0;382
600;0;382
700;0;493
800;0;778
900;0;824
1000;0;845
1100;0.0222222;1276
1200;0.0816327;1524
1300;0.0943396;1547
1400;0.0892857;1318
1500;0.0793651;1515
1600;0.0724638;1567
1700;0.0958904;1562
1800;0.0933333;1519
1900;0.0987654;1539
2000;0.0963855;1442
2100;0.0941176;1426
2200;0.0888889;1392
2300;0.0860215;1304
2400;0.0947368;1381
2500;0.0909091;1357
2600;0.106796;1413
2700;0.102804;1325
2800;0.125;1574
2900;0.137931;1650
3000;0.151261;1798
3100;0.177419;1969
3200;0.193798;2224
3300;0.214815;2435
3400;0.230769;2558
3500;0.248322;2613
3600;0.258065;2491
3700;0.264151;2484
3800;0.26087;2200
3900;0.25;2057
4000;0.241379;2045
4100;0.244318;2089
4200;0.268817;2390
4300;0.280423;2387
4400;0.276042;2217
4500;0.270408;2198
4600;0.265;1904
4700;0.263415;2072
4800;0.263158;2158
4900;0.267606;2263
5000;0.285068;2429
5100;0.292576;2434
5200;0.285106;2240
5300;0.295833;2368
5400;0.292181;2268
5500;0.291498;2319
5600;0.285714;2268
5700;0.284585;1983
5800;0.280156;2017
5900;0.277992;1983
6000;0.274809;1865
6100;0.276119;1944
6200;0.284672;2028
6300;0.283636;1756
6400;0.278571;1829
6500;0.27758;1798
6600;0.277193;1828
6700;0.274306;1768
6800;0.274576;1900
6900;0.27;1892
7000;0.282468;2065
7100;0.282051;2070
7200;0.285714;2160
7300;0.283019;1948
7400;0.280374;1860
7500;0.275229;2047
7600;0.27439;1927
7700;0.27439;1673
7800;0.271642;1769
7900;0.269795;1789
8000;0.276657;2048
8100;0.274788;2046
8200;0.27095;2025
8300;0.270718;2028
8400;0.275956;2069
8500;0.276423;2106
8600;0.274194;2125
8700;0.269841;2068
8800;0.26893;2152
8900;0.26615;2092
9000;0.265464;1925
9100;0.262755;2081
9200;0.262087;1997
9300;0.265152;2037
9400;0.265;1999
9500;0.265;1686
9600;0.264339;1599
9700;0.263027;1319
9800;0.260442;1385
9900;0.259804;1304
10000;0.259169;1135
10100;0.257908;1201
10200;0.256039;1206
10300;0.254808;1228
10400;0.251781;1415
10500;0.25;1317
10600;0.249412;1379
10700;0.248826;1249
