#time;rejrate;cpu
1;0;216
100;0;249
200;0;296
300;0;389
400;0;424
500;0;677
600;0;843
700;0;1023
800;0;1227
900;0.025641;1372
1000;0.0909091;1614
1100;0.125;1669
1200;0.14;1693
1300;0.132075;1510
1400;0.125;1427
1500;0.12069;1410
1600;0.140625;1609
1700;0.132353;1481
1800;0.128571;1179
1900;0.123288;1258
2000;0.1125;1406
2100;0.111111;1381
2200;0.108434;1389
2300;0.103448;1521
2400;0.10989;1434
2500;0.115789;1451
2600;0.14;1671
2700;0.156863;1671
2800;0.152381;1559
2900;0.152381;1418
3000;0.149533;1445
3100;0.151786;1518
3200;0.146552;1526
3300;0.152542;1462
3400;0.157025;1528
3500;0.152;1433
3600;0.152;1310
3700;0.145038;1330
3800;0.137681;1211
3900;0.135714;1286
4000;0.14094;1584
4100;0.150327;1550
4200;0.142857;1523
4300;0.140244;1579
4400;0.138554;1450
4500;0.139535;1416
4600;0.137143;1424
4700;0.135593;1420
4800;0.134078;1370
4900;0.133333;1241
5000;0.131148;1198
5100;0.126984;1359
5200;0.133333;1541
5300;0.13198;1299
5400;0.129353;1362
5500;0.127451;1413
5600;0.129808;1473
5700;0.129808;1302
5800;0.127358;1424
5900;0.127358;1330
6000;0.125581;1375
6100;0.136986;1522
6200;0.135747;1414
6300;0.141593;1686
6400;0.137931;1494
6500;0.135593;1288
6600;0.133891;1444
6700;0.133333;1346
6800;0.131148;1302
6900;0.12749;1487
7000;0.129921;1535
7100;0.129412;1449
7200;0.136882;1739
7300;0.159259;2008
7400;0.161172;1947
7500;0.16;1802
7600;0.170213;2119
7700;0.188356;2498
7800;0.189189;2424
7900;0.187291;2233
8000;0.186667;2011
8100;0.1875;2098
8200;0.192926;2318
8300;0.193651;2198
8400;0.191223;1818
8500;0.190031;1643
8600;0.189441;1478
8700;0.186544;1590
8800;0.186747;1682
8900;0.184524;1361
9000;0.183976;1293
9100;0.182353;1370
9200;0.183908;1589
9300;0.181818;1500
9400;0.183099;1560
9500;0.189944;1732
9600;0.187328;1739
9700;0.191257;1891
9800;0.191257;1742
9900;0.189702;1732
10000;0.191375;1692
10100;0.18984;1567
10200;0.189333;1452
10300;0.187831;1463
10400;0.186842;1428
10500;0.185864;1337
10600;0.184416;1353
10700;0.180662;1423
10800;0.1925;1799
10900;0.197044;2000
11000;0.2;1937
11100;0.19759;1848
11200;0.196643;1789
11300;0.195704;1760
11400;0.194313;1815
11500;0.199531;1932
11600;0.199063;1823
11700;0.197216;1525
11800;0.196347;1745
11900;0.20045;1903
12000;0.202222;2035
12100;0.206593;2179
12200;0.20915;2167
12300;0.210753;2126
12400;0.211538;2123
12500;0.21308;2226
12600;0.211297;2205
12700;0.210417;2050
12800;0.208678;2063
12900;0.206544;1904
13000;0.21328;2101
13100;0.214712;2096
