#time;usage;occcpu;rejrate;cpu
1;0.737077;188;0;188
100;0.725704;296;0;296
200;0.725423;308;0;308
300;0.719894;342;0;342
400;0.71912;335;0;335
500;0.717165;379;0;379
600;0.717342;348;0;348
700;0.712658;417;0;417
800;0.705546;522;0;522
900;0.678151;764;0;764
1000;0.66294;942;0;942
1100;0.657588;977;0.0540541;1063
1200;0.660687;959;0.119048;1351
1300;0.660986;984;0.204082;1489
1400;0.661056;974;0.259259;1625
1500;0.66081;941;0.271186;1638
1600;0.660792;935;0.278689;1639
1700;0.662218;921;0.278689;1551
1800;0.655194;995;0.3;1838
1900;0.654912;1005;0.333333;1956
2000;0.652676;999;0.35;1847
2100;0.655651;949;0.337349;1747
2200;0.661549;967;0.318182;1621
2300;0.660845;980;0.34375;1878
2400;0.662165;979;0.336735;1705
2500;0.663504;963;0.333333;1824
2600;0.664085;938;0.336449;1876
2700;0.696901;695;0.333333;1422
2800;0.693011;707;0.327273;1416
2900;0.681021;822;0.318584;1503
3000;0.668239;1014;0.310924;1758
3100;0.672394;955;0.311475;1777
3200;0.665352;918;0.306452;1635
3300;0.661056;1009;0.3;1822
3400;0.659877;1009;0.308271;1915
3500;0.663785;979;0.301471;1799
3600;0.663961;1045;0.29078;1865
3700;0.66287;1056;0.293706;1696
3800;0.682165;925;0.289655;1535
3900;0.656989;1066;0.287582;1735
4000;0.656004;1066;0.303797;1902
4100;0.655792;1066;0.310559;1995
4200;0.65713;1064;0.304878;1801
4300;0.658785;1050;0.323529;1980
4400;0.686708;858;0.316092;1720
4500;0.668521;1018;0.307263;1831
4600;0.678662;971;0.302198;1634
4700;0.673257;1003;0.31016;1704
4800;0.664032;1052;0.312169;1730
4900;0.674665;960;0.310526;1598
5000;0.665352;1050;0.309645;1669
5100;0.668099;994;0.306533;1569
5200;0.662817;937;0.29902;1438
5300;0.650035;965;0.294686;1422
5400;0.643592;1011;0.305164;1483
5500;0.643785;1011;0.324201;1688
5600;0.639102;1007;0.337778;1939
5700;0.639349;996;0.346491;1956
5800;0.637676;1011;0.347639;2054
5900;0.637676;1011;0.364017;2246
6000;0.638574;998;0.360996;2204
6100;0.639771;1054;0.353659;2072
6200;0.641708;1055;0.352;2149
6300;0.647394;973;0.350598;1903
6400;0.657271;971;0.347656;1924
6500;0.655915;1031;0.357414;2092
6600;0.653644;1055;0.364312;2323
6700;0.650651;1068;0.362637;2247
6800;0.664173;1028;0.357401;2207
6900;0.658838;1049;0.359431;2153
7000;0.659736;959;0.353147;1881
7100;0.655141;1007;0.348276;1929
7200;0.655141;1007;0.363636;2296
7300;0.652306;985;0.36755;2193
7400;0.654384;951;0.365132;2095
7500;0.657676;975;0.365696;2054
7600;0.66;1024;0.366242;2131
7700;0.663222;938;0.365079;1985
7800;0.653415;1027;0.360502;1986
7900;0.650704;1034;0.361963;2081
8000;0.650423;1038;0.369369;2348
8100;0.645933;1004;0.367953;2175
8200;0.64088;1050;0.364706;2204
8300;0.644683;1051;0.365217;2242
8400;0.650563;958;0.361032;2039
8500;0.639296;1012;0.356941;2002
8600;0.642165;1008;0.355932;1920
8700;0.642113;1028;0.355556;1902
8800;0.642113;1028;0.364384;2064
8900;0.660423;925;0.363388;1961
9000;0.648257;1036;0.358491;1941
9100;0.648908;1016;0.355615;1921
9200;0.65;999;0.356201;1778
9300;0.656725;905;0.354331;1632
9400;0.655968;943;0.350649;1670
9500;0.663239;825;0.348837;1552
9600;0.655581;993;0.345269;1682
9700;0.654683;1021;0.343511;1680
9800;0.657148;967;0.3525;1852
9900;0.643662;1042;0.351351;2035
10000;0.63838;998;0.349515;1980
10100;0.644648;935;0.346988;1832
10200;0.637905;1048;0.346062;1828
10300;0.647711;998;0.34434;1778
10400;0.651496;968;0.34186;1757
10500;0.649648;1015;0.346241;2037
10600;0.651796;951;0.344671;1928
10700;0.654718;939;0.340807;1916
10800;0.648856;980;0.340757;1959
10900;0.650722;982;0.33698;1699
11000;0.647694;997;0.339785;1784
11100;0.644225;978;0.34188;1709
11200;0.64287;968;0.343882;1722
11300;0.64588;895;0.342437;1597
11400;0.64493;942;0.345833;1673
11500;0.664912;766;0.344398;1376
11600;0.653803;953;0.338086;1495
11700;0.650387;976;0.338057;1543
11800;0.649208;998;0.337349;1615
11900;0.652641;920;0.337325;1556
12000;0.656426;920;0.334653;1518
12100;0.653803;980;0.334646;1624
12200;0.661426;909;0.333333;1553
12300;0.667148;974;0.32882;1524
12400;0.673345;974;0.327553;1455
12500;0.676532;994;0.330784;1666
12600;0.689683;854;0.329524;1526
