    greedy    apriori    allants    nomaxmin   complete
4   558762355 341557977  279406066  284726980  285238300
5   506020212 318600377  268923161  267971819  266460776
6   512553452 313015383  264231825  264416567  265337432
7   609481441 390781032  325134531  333335931  330062725
8   639308327 383204672  325511431  328870362  327607491
9   588154241 349142108  323412795  322533364  319771880
10  584009210 357564909  318730574  319465193  318011766
1   528286131 337731980  279471332  278014230  282109552
2   557195834 343204239  277580183  282652025  283663900
3   552471574 337910474  282408897  284735269  281495285
