#                          &  @time13_tl     &  @firstint13          &  @time13  &  @cost13    \\ 
\end{tabular}                                                                                  
 \hline                                                                                        
\n begin{tabular} { l r                                    r r r }                             
20 & 2                 &  0              &  0.00                     &  0.00       &  19.67    \\ 
20 & 4                 &  0              &  0.01                     &  0.01       &  59.00    \\ 
20 & 6                 &  0              &  0.01                     &  0.03       &  145.89   \\ 
20 & 8                 &  0              &  0.01                     &  0.10       &  172.56   \\ 
20 & 10                &  0              &  0.04                     &  0.35       &  225.00   \\ 
20 & 12                &  0              &  0.11                     &  0.81       &  337.12   \\ 
20 & 14                &  1              &  12.93                    &  454.91     &  554.40   \\ 
20 & 16                &  2              &  432.94                   &  1042.05    &  704.40   \\ 
20 & 18                &  0              &  -                        &  0.09       &  -        \\ 
40 & 2                 &  0              &  0.01                     &  0.01       &  19.67    \\ 
40 & 4                 &  0              &  0.01                     &  0.02       &  56.33    \\ 
40 & 6                 &  0              &  0.02                     &  0.10       &  130.67   \\ 
40 & 8                 &  0              &  0.02                     &  0.14       &  159.67   \\ 
40 & 10                &  0              &  0.03                     &  0.52       &  191.00   \\ 
40 & 12                &  0              &  0.08                     &  1.67       &  267.33   \\ 
40 & 14                &  3              &  0.11                     &  1219.87    &  420.33   \\ 
40 & 16                &  3              &  0.29                     &  1794.61    &  523.11   \\ 
40 & 18                &  5              &  0.22                     &  2169.31    &  579.67   \\ 
80 & 2                 &  0              &  0.01                     &  0.01       &  19.67    \\ 
80 & 4                 &  0              &  0.05                     &  0.10       &  56.33    \\ 
80 & 6                 &  0              &  0.09                     &  0.45       &  130.67   \\ 
80 & 8                 &  0              &  0.12                     &  0.95       &  159.67   \\ 
80 & 10                &  0              &  0.22                     &  4.38       &  191.00   \\ 
80 & 12                &  0              &  0.23                     &  6.06       &  267.33   \\ 
80 & 14                &  0              &  0.47                     &  919.24     &  377.00   \\ 
80 & 16                &  2              &  0.61                     &  1800.37    &  487.56   \\ 
80 & 18                &  5              &  0.79                     &  2131.59    &  517.67   \\ 
120 & 2                &  0              &  0.03                     &  0.03       &  19.67    \\ 
120 & 4                &  0              &  0.12                     &  0.28       &  56.33    \\ 
120 & 6                &  0              &  0.20                     &  0.90       &  130.67   \\ 
120 & 8                &  0              &  0.37                     &  1.57       &  159.67   \\ 
120 & 10               &  0              &  0.71                     &  14.88      &  191.00   \\ 
120 & 12               &  0              &  1.84                     &  12.07      &  267.33   \\ 
120 & 14               &  2              &  1.10                     &  1244.93    &  380.78   \\ 
120 & 16               &  4              &  1.41                     &  1937.85    &  515.56   \\ 
120 & 18               &  3              &  1.86                     &  2104.18    &  500.56   \\ 
160 & 2                &  0              &  0.06                     &  0.06       &  19.67    \\ 
160 & 4                &  0              &  0.25                     &  0.46       &  56.33    \\ 
160 & 6                &  0              &  0.55                     &  4.08       &  130.67   \\ 
160 & 8                &  0              &  0.78                     &  7.14       &  159.67   \\ 
160 & 10               &  0              &  1.16                     &  59.88      &  191.00   \\ 
160 & 12               &  0              &  2.07                     &  54.53      &  267.33   \\ 
160 & 14               &  3              &  2.23                     &  1454.17    &  406.11   \\ 
160 & 16               &  6              &  2.97                     &  3224.07    &  543.67   \\ 
160 & 18               &  5              &  5.18                     &  2567.25    &  546.56   \\ 
200 & 2                &  0              &  0.09                     &  0.09       &  19.67    \\ 
200 & 4                &  0              &  0.43                     &  1.78       &  56.33    \\ 
200 & 6                &  0              &  0.92                     &  4.47       &  130.67   \\ 
200 & 8                &  0              &  1.67                     &  15.48      &  159.67   \\ 
200 & 10               &  0              &  1.99                     &  114.76     &  191.00   \\ 
200 & 12               &  0              &  4.85                     &  180.38     &  267.33   \\ 
200 & 14               &  3              &  5.82                     &  1785.67    &  415.11   \\ 
200 & 16               &  8              &  15.49                    &  3326.29    &  564.67   \\ 
200 & 18               &  6              &  11.00                    &  2672.53    &  599.67   \\ 
