#                          &  @time13_tl            &  @firstint13    &  @time13   &  @cost13 &    \\ 
\end{tabular}                                                                                  
 \hline                                                                                        
\n begin{tabular} { l r                  r r r }                                
125 & 2                &  0                     &  0.01           &  0.01        &  19.67      \\ 
125 & 4                &  0                     &  0.03           &  0.09        &  56.33      \\ 
125 & 6                &  0                     &  0.10           &  0.15        &  130.67     \\ 
125 & 8                &  0                     &  0.24           &  1.57        &  162.11     \\ 
125 & 10               &  0                     &  1.25           &  8.68        &  192.56     \\ 
125 & 12               &  0                     &  7.69           &  9.89        &  269.78     \\ 
125 & 14               &  2                     &  120.31         &  1415.67     &  343.67     \\ 
125 & 16               &  5                     &  1394.04        &  2357.89     &  612.33     \\ 
125 & 18               &  7                     &  26.97          &  2801.61     &  341.67     \\ 
150 & 2                &  0                     &  0.01           &  0.01        &  19.67      \\ 
150 & 4                &  0                     &  0.04           &  0.17        &  56.33      \\ 
150 & 6                &  0                     &  0.17           &  0.31        &  130.67     \\ 
150 & 8                &  0                     &  0.42           &  1.40        &  163.44     \\ 
150 & 10               &  0                     &  0.98           &  7.20        &  195.56     \\ 
150 & 12               &  0                     &  16.30          &  27.23       &  272.89     \\ 
150 & 14               &  4                     &  413.19         &  2492.49     &  429.17     \\ 
150 & 16               &  8                     &  308.04         &  3348.85     &  666.33     \\ 
150 & 18               &  7                     &  90.09          &  2836.13     &  348.67     \\ 
175 & 2                &  0                     &  0.01           &  0.01        &  19.67      \\ 
175 & 4                &  0                     &  0.06           &  0.18        &  56.33      \\ 
175 & 6                &  0                     &  0.21           &  0.33        &  130.67     \\ 
175 & 8                &  0                     &  0.33           &  0.86        &  159.67     \\ 
175 & 10               &  0                     &  1.77           &  6.97        &  191.00     \\ 
175 & 12               &  0                     &  5.84           &  7.46        &  267.33     \\ 
175 & 14               &  5                     &  448.03         &  2397.14     &  608.86     \\ 
175 & 16               &  8                     &  768.16         &  3391.67     &  1255.00    \\ 
175 & 18               &  8                     &  161.09         &  3284.82     &  780.25     \\ 
200 & 2                &  0                     &  0.01           &  0.01        &  19.67      \\ 
200 & 4                &  0                     &  0.15           &  0.28        &  56.33      \\ 
200 & 6                &  0                     &  0.32           &  0.36        &  130.67     \\ 
200 & 8                &  0                     &  0.98           &  25.16       &  161.67     \\ 
200 & 10               &  0                     &  2.59           &  4.33        &  191.00     \\ 
200 & 12               &  0                     &  26.43          &  44.38       &  267.89     \\ 
200 & 14               &  4                     &  128.82         &  1840.34     &  325.83     \\ 
200 & 16               &  9                     &  1262.95        &  3600.00     &  465.00     \\ 
200 & 18               &  8                     &  104.93         &  3230.79     &  352.00     \\ 
225 & 2                &  0                     &  0.01           &  0.01        &  19.67      \\ 
225 & 4                &  0                     &  0.05           &  0.37        &  56.33      \\ 
225 & 6                &  0                     &  1.19           &  1.52        &  130.67     \\ 
225 & 8                &  0                     &  0.86           &  2.39        &  159.67     \\ 
225 & 10               &  0                     &  2.06           &  16.18       &  191.00     \\ 
225 & 12               &  0                     &  12.39          &  51.23       &  267.89     \\ 
225 & 14               &  6                     &  48.74          &  2816.50     &  326.17     \\ 
225 & 16               &  9                     &  497.86         &  3600.00     &  588.00     \\ 
225 & 18               &  9                     &  579.64         &  3600.00     &  1352.83    \\ 
250 & 2                &  0                     &  0.02           &  0.02        &  19.67      \\ 
250 & 4                &  0                     &  0.05           &  0.41        &  56.33      \\ 
250 & 6                &  0                     &  0.25           &  0.51        &  130.67     \\ 
250 & 8                &  0                     &  0.96           &  1.93        &  159.67     \\ 
250 & 10               &  0                     &  1.22           &  22.07       &  191.78     \\ 
250 & 12               &  0                     &  7.11           &  21.10       &  267.33     \\ 
250 & 14               &  5                     &  272.74         &  2373.02     &  735.12     \\ 
250 & 16               &  9                     &  325.45         &  3600.00     &  1041.00    \\ 
250 & 18               &  8                     &  39.81          &  3204.58     &  823.60     \\ 
