#                          &  @time13_tl      &  @firstint13           &  @time13  &  @cost13 &    \\ 
\end{tabular}                                                                                  
 \hline                                                                                        
\n begin{tabular} { l r                  r                   r r }                             
20 & 2                 &  0               &  0.00                  &  0.00       &  19.89      \\ 
20 & 4                 &  0               &  0.01                  &  0.01       &  68.56      \\ 
20 & 6                 &  0               &  0.01                  &  0.01       &  114.50     \\ 
20 & 8                 &  0               &  0.02                  &  0.06       &  197.25     \\ 
20 & 10                &  0               &  0.05                  &  0.09       &  202.20     \\ 
20 & 12                &  0               &  0.41                  &  2.00       &  272.00     \\ 
20 & 14                &  0               &  9.99                  &  3.90       &  446        \\ 
20 & 16                &  0               &  -                     &  0.04       &  -          \\ 
20 & 18                &  0               &  -                     &  0.04       &  -          \\ 
40 & 2                 &  0               &  0.01                  &  0.01       &  19.67      \\ 
40 & 4                 &  0               &  0.01                  &  0.03       &  57.67      \\ 
40 & 6                 &  0               &  0.01                  &  0.08       &  130.67     \\ 
40 & 8                 &  0               &  0.02                  &  0.39       &  160.56     \\ 
40 & 10                &  0               &  0.04                  &  0.55       &  191.00     \\ 
40 & 12                &  0               &  0.06                  &  7.68       &  270.33     \\ 
40 & 14                &  2               &  0.10                  &  1130.04    &  434.78     \\ 
40 & 16                &  3               &  0.50                  &  1699.98    &  591.78     \\ 
40 & 18                &  4               &  3.62                  &  2057.50    &  615.22     \\ 
80 & 2                 &  0               &  0.01                  &  0.01       &  19.67      \\ 
80 & 4                 &  0               &  0.03                  &  0.06       &  56.33      \\ 
80 & 6                 &  0               &  0.04                  &  0.12       &  130.67     \\ 
80 & 8                 &  0               &  0.07                  &  0.70       &  159.67     \\ 
80 & 10                &  0               &  0.12                  &  1.54       &  191.00     \\ 
80 & 12                &  0               &  0.14                  &  5.15       &  267.33     \\ 
80 & 14                &  3               &  0.35                  &  1215.93    &  425.00     \\ 
80 & 16                &  5               &  0.30                  &  2199.81    &  560.00     \\ 
80 & 18                &  6               &  0.60                  &  2445.66    &  597.78     \\ 
120 & 2                &  0               &  0.02                  &  0.02       &  19.67      \\ 
120 & 4                &  0               &  0.07                  &  0.22       &  56.33      \\ 
120 & 6                &  0               &  0.12                  &  0.96       &  130.67     \\ 
120 & 8                &  0               &  0.18                  &  1.70       &  159.67     \\ 
120 & 10               &  0               &  0.26                  &  9.34       &  191.00     \\ 
120 & 12               &  0               &  0.63                  &  15.52      &  267.33     \\ 
120 & 14               &  3               &  0.64                  &  1271.91    &  415.78     \\ 
120 & 16               &  6               &  0.70                  &  2719.76    &  555.67     \\ 
120 & 18               &  6               &  1.05                  &  2458.00    &  607.56     \\ 
160 & 2                &  0               &  0.03                  &  0.03       &  19.67      \\ 
160 & 4                &  0               &  0.15                  &  0.58       &  56.33      \\ 
160 & 6                &  0               &  0.30                  &  1.76       &  130.67     \\ 
160 & 8                &  0               &  0.58                  &  6.97       &  159.67     \\ 
160 & 10               &  0               &  0.74                  &  25.84      &  191.00     \\ 
160 & 12               &  0               &  0.89                  &  39.92      &  267.33     \\ 
160 & 14               &  3               &  1.87                  &  1319.58    &  417.11     \\ 
160 & 16               &  7               &  1.73                  &  3180.68    &  580.67     \\ 
160 & 18               &  7               &  4.06                  &  2884.87    &  610.22     \\ 
200 & 2                &  0               &  0.06                  &  0.06       &  19.67      \\ 
200 & 4                &  0               &  0.29                  &  0.67       &  56.33      \\ 
200 & 6                &  0               &  0.53                  &  7.40       &  130.67     \\ 
200 & 8                &  0               &  1.07                  &  7.69       &  159.67     \\ 
200 & 10               &  0               &  1.13                  &  44.73      &  191.00     \\ 
200 & 12               &  0               &  2.47                  &  90.05      &  267.33     \\ 
200 & 14               &  3               &  4.40                  &  1529.08    &  406.44     \\ 
200 & 16               &  9               &  6.25                  &  3600.00    &  602.67     \\ 
200 & 18               &  6               &  4.30                  &  2712.75    &  631.22     \\ 
