#                          &  @time13_tl         &  @firstint13    &  @time13    &  @cost13   \\ 
\end{tabular}                                                                                  
 \hline                                                                                        
\n begin{tabular} { l r r r                  r }                                               
90 & 2                     &  0                  &  0.01           &  0.01       &  19.67      \\ 
90 & 4                     &  0                  &  0.03           &  0.05       &  56.33      \\ 
90 & 6                     &  0                  &  0.08           &  0.15       &  130.67     \\ 
90 & 8                     &  0                  &  0.14           &  0.73       &  162.44     \\ 
90 & 10                    &  0                  &  0.60           &  1.40       &  193.00     \\ 
90 & 12                    &  0                  &  4.01           &  6.24       &  277.44     \\ 
90 & 14                    &  1                  &  24.33          &  616.70     &  335.17     \\ 
90 & 16                    &  3                  &  67.46          &  1322.07    &  588.20     \\ 
90 & 18                    &  3                  &  610.65         &  1871.00    &  499.75     \\ 
135 & 2                    &  0                  &  0.01           &  0.01       &  19.67      \\ 
135 & 4                    &  0                  &  0.07           &  0.09       &  56.33      \\ 
135 & 6                    &  0                  &  0.17           &  0.20       &  130.67     \\ 
135 & 8                    &  0                  &  0.27           &  0.45       &  159.67     \\ 
135 & 10                   &  0                  &  0.96           &  2.12       &  191.00     \\ 
135 & 12                   &  0                  &  4.97           &  8.42       &  270.33     \\ 
135 & 14                   &  3                  &  34.41          &  1292.02    &  327.17     \\ 
135 & 16                   &  3                  &  320.69         &  1616.16    &  564.00     \\ 
135 & 18                   &  4                  &  377.22         &  2052.87    &  600.60     \\ 
180 & 2                    &  0                  &  0.01           &  0.01       &  19.67      \\ 
180 & 4                    &  0                  &  0.03           &  0.16       &  56.33      \\ 
180 & 6                    &  0                  &  0.11           &  0.34       &  130.67     \\ 
180 & 8                    &  0                  &  0.06           &  0.92       &  159.67     \\ 
180 & 10                   &  0                  &  1.65           &  4.10       &  191.00     \\ 
180 & 12                   &  0                  &  3.44           &  4.46       &  267.33     \\ 
180 & 14                   &  3                  &  276.71         &  1262.25    &  416.86     \\ 
180 & 16                   &  5                  &  767.30         &  2885.68    &  507.33     \\ 
180 & 18                   &  6                  &  732.56         &  2539.11    &  675.00     \\ 
225 & 2                    &  0                  &  0.01           &  0.01       &  19.67      \\ 
225 & 4                    &  0                  &  0.03           &  0.26       &  56.33      \\ 
225 & 6                    &  0                  &  0.35           &  0.53       &  130.67     \\ 
225 & 8                    &  0                  &  0.46           &  1.69       &  159.67     \\ 
225 & 10                   &  0                  &  3.42           &  5.95       &  191.00     \\ 
225 & 12                   &  0                  &  6.62           &  13.65      &  267.33     \\ 
225 & 14                   &  3                  &  184.34         &  1380.54    &  480.62     \\ 
225 & 16                   &  6                  &  691.40         &  2798.31    &  571.17     \\ 
225 & 18                   &  7                  &  142.55         &  2808.82    &  547.75     \\ 
270 & 2                    &  0                  &  0.02           &  0.02       &  19.67      \\ 
270 & 4                    &  0                  &  0.08           &  0.38       &  56.33      \\ 
270 & 6                    &  0                  &  0.26           &  0.58       &  130.67     \\ 
270 & 8                    &  0                  &  0.61           &  1.33       &  159.67     \\ 
270 & 10                   &  0                  &  2.29           &  8.01       &  191.00     \\ 
270 & 12                   &  0                  &  12.63          &  16.38      &  267.33     \\ 
270 & 14                   &  3                  &  187.20         &  1287.60    &  401.14     \\ 
270 & 16                   &  7                  &  756.57         &  3078.49    &  685.14     \\ 
270 & 18                   &  6                  &  928.86         &  2420.82    &  838.50     \\ 
