cost12    cost13    time13    time14    cost14    optimal12    optimal14    time12    optimal13 
652       557       3600.00   1555.11   498       0            1            3600.00   0 
117       117       765.947   839.435   117       1            1            851.345   1 
88        88        0.012     0.012     88        1            1            0.012     1 
33        33        0.035     0.024     33        1            1            0.051     1 
192       192       0.434     0.482     192       1            1            0.771     1 
191       191       2.103     1.938     191       1            1            3.486     1 
119       119       44.627    37.088    119       1            1            100.112   1 
-         -         0.074     0.073     -         0            0            0.075     0 
-         -         0.096     0.097     -         0            0            0.096     0 
197       197       64.611    42.484    197       1            1            517.078   1 
192       192       197.068   145.76    192       1            1            2057.72   1 
26        26        0.007     0.007     26        1            1            0.007     1 
-         722       3600      3600      -         0            0            754       0 
13        13        0.005     0.005     13        1            1            0.005     1 
1041      826       3600.00   3600.00   795       0            0            3600      0 
192       192       25.635    9.568     192       1            1            411.443   1 
200       197       2667.61   797.249   197       0            1            3600.00   1 
119       119       1049.44   1155.45   119       1            1            2689.28   1 
153       153       55.011    10.407    153       1            1            16.071    1 
153       153       5.441     13.442    153       1            1            22.069    1 
68        68        37.53     12.986    68        1            1            45.616    1 
26        26        0.052     0.053     26        1            1            0.054     1 
168       168       2.155     0.7       168       1            1            2.518     1 
13        13        0.106     0.108     13        1            1            0.108     1 
150       150       22.3      136.021   150       1            1            302.193   1 
219       205       3600.00   2644.81   192       0            1            3600.00   0 
13        13        0.195     0.194     13        1            1            0.195     1 
26        26        0.094     0.096     26        1            1            0.097     1 
935       829       3600.00   3600.00   686       0            0            3600.00   0 
33        33        0.029     0.103     33        1            1            0.029     1 
168       168       85.51     33.178    168       1            1            52.45     1 
150       150       878.262   545.595   150       1            1            2068.64   1 
76        76        0.019     0.019     76        1            1            0.019     1 
914       746       3600.00   3600.00   726       0            0            3600.00   0 
212       192       1506.1    710.337   192       0            1            3600.00   1 
-         -         0.051     0.051     -         0            0            0.049     0 
65        65        1.86      1.859     65        1            1            1.861     1 
65        65        47.593    60.17     65        1            1            48.665    1 
65        65        11.117    14.441    65        1            1            15.171    1 
65        65        3.563     2.098     65        1            1            4.602     1 
33        33        2.414     2.419     33        1            1            2.409     1 
76        76        1.084     1.067     76        1            1            1.059     1 
65        65        0.544     0.337     65        1            1            0.501     1 
65        65        63.754    47.539    65        1            1            43.462    1 
65        65        0.847     0.693     65        1            1            0.725     1 
65        65        657.662   502.997   65        1            1            367.218   1 
13        13        0.045     0.045     13        1            1            0.046     1 
26        26        0.03      0.028     26        1            1            0.029     1 
68        68        3.309     7.859     68        1            1            6.419     1 
153       153       0.422     0.358     153       1            1            0.759     1 
68        68        1.615     0.198     68        1            1            0.427     1 
153       153       1.229     2.219     153       1            1            2.525     1 
68        68        76.623    39        68        1            1            70.834    1 
230       225       3600.00   3600.00   213       0            0            3600.00   0 
419       405       1066.56   3600.00   425       0            0            3600.00   1 
71        71        0.432     0.271     71        1            1            0.562     1 
244       245       3600.00   3600.00   214       0            0            3600.00   0 
447       407       3600.00   3600.00   408       0            0            3600.00   0 
251       251       0.134     0.129     251       1            1            0.106     1 
200       197       355.362   417.04    197       0            1            3600.00   1 
119       119       1293.59   687.874   119       1            1            915.317   1 
76        76        0.11      0.11      76        1            1            0.11      1 
117       117       241.559   353.579   117       1            1            496.18    1 
33        33        0.217     0.204     33        1            1            0.217     1 
117       117       10.83     3.79      117       1            1            74.891    1 
647       498       2665.52   3600.00   515       0            0            3600.00   1 
65        65        6.585     15.425    65        1            1            18.019    1 
168       168       290.796   327.363   168       1            1            282.66    1 
65        65        79.031    28.665    65        1            1            57.884    1 
154       150       3449.7    3600.00   158       0            0            3600.00   1 
71        71        0.438     0.412     71        1            1            0.566     1 
65        65        0.019     0.018     65        1            1            0.032     1 
646       645       3600.00   3600      -         0            0            3600.00   0 
117       117       93.923    14.832    117       1            1            195.024   1 
33        33        3.217     3.072     33        1            1            3.179     1 
76        76        0.427     0.429     76        1            1            0.429     1 
153       153       45.004    117.923   153       1            1            201.646   1 
68        68        77.136    61.989    68        1            1            121.446   1 
13        13        0.007     0.006     13        1            1            0.007     1 
26        26        0.005     0.005     26        1            1            0.005     1 
283       283       1838.52   1839      -         1            0            1439.43   1 
405       405       519.778   264.929   405       1            1            1289.65   1 
126       117       2415.44   990.802   117       0            1            3600.00   1 
676       635       3600.00   3600.00   566       0            0            3600.00   0 
952       874       3600.00   3600.00   751       0            0            3600.00   0 
247       261       3600.00   3600.00   209       0            0            3600.00   0 
215       209       3600.00   164.022   193       0            1            3600.00   0 
150       150       196.652   55.559    150       1            1            388.017   1 
168       168       9.46      5.382     168       1            1            7.319     1 
-         193       401.782   754.247   193       0            1            754       1 
-         -         0.032     0.033     -         0            0            0.032     0 
407       407       105.528   103.463   407       1            1            884.266   1 
133       133       5.935     3.481     133       1            1            11.369    1 
119       119       266.553   231.14    119       1            1            466.796   1 
197       197       920.367   320.11    197       1            1            244.439   1 
619       498       3424.7    2543.67   498       0            1            3600.00   1 
197       197       71.455    184.616   197       1            1            363.518   1 
119       119       4.22      2.823     119       1            1            9.08      1 
76        76        0.301     0.303     76        1            1            0.301     1 
33        33        3.733     6.684     33        1            1            4.183     1 
26        26        0.013     0.013     26        1            1            0.023     1 
13        13        0.02      0.02      13        1            1            0.021     1 
408       405       468.181   404.92    405       0            1            3600.00   1 
150       152       3600.00   1456.22   150       1            1            2192.61   0 
227       193       2604.86   3600.00   223       0            0            3600.00   1 
168       168       287.478   24.246    168       1            1            200.484   1 
155       155       33.174    17.047    155       1            1            59.16     1 
-         -         0.053     0.057     -         0            0            0.052     0 
