# |S| & |V|                   &  time limit     &  first int                &  time       &  cost     &  time limit &  first int  &  time       &  cost           
20 & 2                        &  0              &  0.00                     &  0.00       &  19.67    &  0            &  0.01        & 0.02         & 19.67        
20 & 4                        &  0              &  0.01                     &  0.01       &  59.00    &  0            &  0.09        & 0.28         & 59.00        
20 & 6                        &  0              &  0.01                     &  0.03       &  145.89   &  0            &  0.13        & 0.99         & 184.11       
20 & 8                        &  0              &  0.01                     &  0.10       &  172.56   &  0            &  0.25        & 2.34         & 183.67       
20 & 10                       &  0              &  0.04                     &  0.35       &  225.00   &  0            &  1.11        & 6.26         & 252.00       
20 & 12                       &  0              &  0.11                     &  0.81       &  337.12   &  0            &  2.03        & 10.32        & 348.14       
20 & 14                       &  1              &  12.93                    &  454.91     &  554.40   &  0            &  13.07       & 40.35        & 573.00       
20 & 16                       &  2              &  432.94                   &  1042.05    &  704.40   &  0            &  20.92       & 35.50        & 719.40       
20 & 18                       &  0              &  nan                        &  0.09       &  nan            &  0            &  nan           & 0.79         & nan            
40 & 2                        &  0              &  0.01                     &  0.01       &  19.67    &  0            &  0.01        & 0.04         & 19.67        
40 & 4                        &  0              &  0.01                     &  0.02       &  56.33    &  0            &  0.21        & 0.61         & 56.33        
40 & 6                        &  0              &  0.02                     &  0.10       &  130.67   &  0            &  0.57        & 13.48        & 135.44       
40 & 8                        &  0              &  0.02                     &  0.14       &  159.67   &  1            &  1.21        & 508.28       & 159.67       
40 & 10                       &  0              &  0.03                     &  0.52       &  191.00   &  3            &  2.79        & 2748.24      & 191.00       
40 & 12                       &  0              &  0.08                     &  1.67       &  267.33   &  9            &  3.49        & 3600.00      & 287.00       
40 & 14                       &  3              &  0.11                     &  1219.87    &  420.33   &  9            &  16.68       & 3600.00      & 435.22       
40 & 16                       &  3              &  0.29                     &  1794.61    &  523.11   &  9            &  33.87       & 3600.00      & 603.78       
40 & 18                       &  5              &  0.22                     &  2169.31    &  579.67   &  9            &  93.90       & 3600.00      & 667.44       
80 & 2                        &  0              &  0.01                     &  0.01       &  19.67    &  0            &  0.03        & 0.07         & 19.67        
80 & 4                        &  0              &  0.05                     &  0.10       &  56.33    &  0            &  0.42        & 3.79         & 56.33        
80 & 6                        &  0              &  0.09                     &  0.45       &  130.67   &  0            &  3.01        & 193.01       & 130.67       
80 & 8                        &  0              &  0.12                     &  0.95       &  159.67   &  6            &  9.88        & 2818.23      & 159.67       
80 & 10                       &  0              &  0.22                     &  4.38       &  191.00   &  9            &  13.04       & 3600.00      & 191.00       
80 & 12                       &  0              &  0.23                     &  6.06       &  267.33   &  9            &  78.74       & 3600.00      & 280.78       
80 & 14                       &  0              &  0.47                     &  919.24     &  377.00   &  9            &  752.22      & 3600.00      & 496.56       
80 & 16                       &  2              &  0.61                     &  1800.37    &  487.56   &  9            &  950.62      & 3600.00      & 703.67       
80 & 18                       &  5              &  0.79                     &  2131.59    &  517.67   &  9            &  2107.12     & 3600.00      & 837.38       
120 & 2                       &  0              &  0.03                     &  0.03       &  19.67    &  0            &  0.06        & 0.13         & 19.67        
120 & 4                       &  0              &  0.12                     &  0.28       &  56.33    &  0            &  1.08        & 13.03        & 56.33        
120 & 6                       &  0              &  0.20                     &  0.90       &  130.67   &  0            &  7.97        & 1135.29      & 130.67       
120 & 8                       &  0              &  0.37                     &  1.57       &  159.67   &  7            &  31.22       & 3351.69      & 159.67       
120 & 10                      &  0              &  0.71                     &  14.88      &  191.00   &  9            &  87.64       & 3600.00      & 195.56       
120 & 12                      &  0              &  1.84                     &  12.07      &  267.33   &  9            &  930.39      & 3600.00      & 316.56       
120 & 14                      &  2              &  1.10                     &  1244.93    &  380.78   &  9            &  1681.89     & 3600.00      & 547.56       
120 & 16                      &  4              &  1.41                     &  1937.85    &  515.56   &  9            &  1731.38     & 3600.00      & 799.38       
120 & 18                      &  3              &  1.86                     &  2104.18    &  500.56   &  9            &  987.24      & 3600.00      & 748          
160 & 2                       &  0              &  0.06                     &  0.06       &  19.67    &  0            &  0.10        & 0.23         & 19.67        
160 & 4                       &  0              &  0.25                     &  0.46       &  56.33    &  0            &  1.82        & 38.95        & 56.33        
160 & 6                       &  0              &  0.55                     &  4.08       &  130.67   &  6            &  17.34       & 3294.34      & 130.67       
160 & 8                       &  0              &  0.78                     &  7.14       &  159.67   &  9            &  70.71       & 3600.00      & 159.67       
160 & 10                      &  0              &  1.16                     &  59.88      &  191.00   &  9            &  606.78      & 3600.00      & 198.22       
160 & 12                      &  0              &  2.07                     &  54.53      &  267.33   &  9            &  1373.49     & 3600.00      & 405.50       
160 & 14                      &  3              &  2.23                     &  1454.17    &  406.11   &  9            &  1472.87     & 3600.00      & 551.00       
160 & 16                      &  6              &  2.97                     &  3224.07    &  543.67   &  9            &  1796.00     & 3600.00      & 721.00       
160 & 18                      &  5              &  5.18                     &  2567.25    &  546.56   &  9            &  3413.39     & 3600.00      & 479          
200 & 2                       &  0              &  0.09                     &  0.09       &  19.67    &  0            &  0.17        & 0.37         & 20.57        
200 & 4                       &  0              &  0.43                     &  1.78       &  56.33    &  0            &  3.74        & 84.64        & 56.88        
200 & 6                       &  0              &  0.92                     &  4.47       &  130.67   &  8            &  27.60       & 3600.00      & 138.88       
200 & 8                       &  0              &  1.67                     &  15.48      &  159.67   &  8            &  215.63      & 3600.00      & 160.50       
200 & 10                      &  0              &  1.99                     &  114.76     &  191.00   &  8            &  1866.90     & 3600.00      & 207.12       
200 & 12                      &  0              &  4.85                     &  180.38     &  267.33   &  8            &  2714.27     & 3600.00      & 592.60       
