# |S| & |V|   & time limit     &  first int      &  time          &  cost        &  time limit  &  first int       &  time       &  cost           
125 & 2       &  0             &  0.01           &  0.01          &  16.33       &  0           &  0.06            &  0.13       &  16.33     
125 & 4       &  0             &  0.09           &  0.16          &  25.00       &  0           &  2.27            &  9.18       &  25.00     
125 & 6       &  0             &  0.22           &  0.54          &  62.67       &  0           &  17.30           &  167.21     &  62.67     
125 & 8       &  0             &  0.26           &  0.80          &  76.67       &  5           &  75.18           &  3056.65    &  78.22     
125 & 10      &  0             &  5.82           &  206.78        &  125.33      &  9           &  270.71          &  3600.00    &  151.78    
125 & 12      &  0             &  3.56           &  10.76         &  126.00      &  9           &  629.59          &  3600.00    &  169.33    
125 & 14      &  2             &  53.87          &  1079.51       &  168.56      &  9           &  1538.64         &  3600.00    &  217.00    
125 & 16      &  3             &  151.36         &  1294.21       &  303.12      &  9           &  3142.99         &  3600.00    &  406.33    
125 & 18      &  9             &  1462.62        &  3600.00       &  477.17      &  9           &  nan             &  3600.00    &  nan       
150 & 2       &  0             &  0.01           &  0.01          &  16.33       &  0           &  0.06            &  0.15       &  16.33     
150 & 4       &  0             &  0.03           &  0.14          &  25.00       &  0           &  2.06            &  10.77      &  25.00     
150 & 6       &  0             &  0.39           &  0.79          &  62.67       &  0           &  13.70           &  260.67     &  62.67     
150 & 8       &  0             &  0.32           &  1.25          &  76.67       &  8           &  68.72           &  3540.39    &  77.11     
150 & 10      &  0             &  1.83           &  600.95        &  124.33      &  9           &  218.09          &  3600.00    &  155.33    
150 & 12      &  0             &  2.48           &  10.93         &  126.00      &  9           &  922.26          &  3600.00    &  185.56    
150 & 14      &  2             &  6.11           &  1058.00       &  163.89      &  9           &  951.29          &  3600.00    &  263.50    
150 & 16      &  3             &  17.03          &  1272.75       &  298.89      &  9           &  855.97          &  3600.00    &  419.33    
150 & 18      &  9             &  105.17         &  3600.00       &  356.44      &  9           &  nan             &  3600.00    &  nan       
175 & 2       &  0             &  0.02           &  0.02          &  16.33       &  0           &  0.09            &  0.20       &  16.33     
175 & 4       &  0             &  0.03           &  0.25          &  25.00       &  0           &  2.57            &  19.25      &  25.00     
175 & 6       &  0             &  0.05           &  0.81          &  62.67       &  0           &  22.57           &  646.73     &  62.67     
175 & 8       &  0             &  0.34           &  1.59          &  76.67       &  9           &  108.28          &  3600.00    &  77.67     
175 & 10      &  1             &  2.36           &  847.05        &  123.33      &  9           &  519.80          &  3600.00    &  166.00    
175 & 12      &  0             &  1.50           &  12.98         &  126.00      &  9           &  873.28          &  3600.00    &  233.33    
175 & 14      &  1             &  3.00           &  702.18        &  147.33      &  9           &  1429.26         &  3600.00    &  305.78    
175 & 16      &  3             &  11.69          &  1416.83       &  288.89      &  8           &  2425.69         &  3600.00    &  514.00    
175 & 18      &  9             &  14.94          &  3600.00       &  425.67      &  8           &  3201.44         &  3600.00    &  573.00    
200 & 2       &  0             &  0.02           &  0.02          &  16.33       &  0           &  0.11            &  0.25       &  16.33     
200 & 4       &  0             &  0.03           &  0.24          &  25.00       &  0           &  3.87            &  31.70      &  25.00     
200 & 6       &  0             &  0.06           &  0.76          &  62.67       &  1           &  28.18           &  1236.67    &  62.67     
200 & 8       &  0             &  0.22           &  3.81          &  76.67       &  9           &  161.43          &  3600.00    &  79.00     
200 & 10      &  3             &  5.15           &  1212.09       &  123.78      &  9           &  1038.06         &  3600.00    &  166.22    
200 & 12      &  0             &  3.87           &  20.73         &  126.00      &  9           &  1293.03         &  3600.00    &  212.88    
200 & 14      &  2             &  14.11          &  883.31        &  168.00      &  7           &  1875.52         &  3600.00    &  283.33    
200 & 16      &  3             &  24.27          &  1593.50       &  313.33      &  7           &  3016.97         &  3600.00    &  430.75    
200 & 18      &  9             &  174.15         &  3600.00       &  568.11      &  8           &  nan             &  3600.00    &  nan       
225 & 2       &  0             &  0.02           &  0.02          &  16.33       &  0           &  0.19            &  0.43       &  16.33     
225 & 4       &  0             &  0.04           &  0.33          &  25.00       &  0           &  5.72            &  47.53      &  25.00     
225 & 6       &  0             &  0.25           &  0.94          &  62.67       &  1           &  56.71           &  1890.65    &  62.67     
225 & 8       &  0             &  0.72           &  5.74          &  76.67       &  9           &  499.16          &  3600.00    &  86.22     
225 & 10      &  2             &  1.44           &  1093.53       &  122.89      &  9           &  1434.67         &  3600.00    &  180.00    
225 & 12      &  0             &  2.42           &  29.92         &  126.00      &  9           &  1578.52         &  3600.00    &  273.33    
225 & 14      &  1             &  12.33          &  496.72        &  163.22      &  9           &  2677.50         &  3600.00    &  291.29    
225 & 16      &  2             &  10.65          &  1178.15       &  293.44      &  9           &  nan             &  3600.00    &  nan       
225 & 18      &  9             &  43.68          &  3600.00       &  501.78      &  9           &  nan             &  nan        &  nan       
250 & 2       &  0             &  0.02           &  0.02          &  16.33       &  0           &  0.18            &  0.41       &  16.33     
250 & 4       &  0             &  0.04           &  0.28          &  25.00       &  0           &  6.17            &  64.05      &  25.00     
250 & 6       &  0             &  0.47           &  2.10          &  62.67       &  4           &  58.16           &  2697.23    &  62.67     
250 & 8       &  0             &  0.90           &  4.83          &  76.67       &  9           &  586.85          &  3600.00    &  81.78     
250 & 10      &  3             &  5.34           &  1212.05       &  124.22      &  9           &  1143.66         &  3600.00    &  183.22    
250 & 12      &  0             &  3.90           &  34.62         &  126.00      &  9           &  2035.18         &  3600.00    &  210.67    
250 & 14      &  2             &  4.91           &  871.68        &  147.62      &  9           &  3188.84         &  3600.00    &  295.75    
250 & 16      &  2             &  15.55          &  1376.31       &  261.78      &  6           &  nan             &  3600.00    &  nan       
250 & 18      &  9             &  38.05          &  3600.00       &  470.00      &  9         &  nan             &  nan        &  nan      
