# |S| & |V|                &  @time13_tl    &  @firstint13    &  @time13      &  @cost13      &  @time1_tl  &  @firstint1      &  @time1     &  @cost1     
90 & 2                     &  0             &  0.01           &  0.01         &  16.33        &  0          &  0.04            &  0.08       &  16.33      
90 & 4                     &  0             &  0.02           &  0.03         &  25.00        &  0          &  1.43            &  3.92       &  25.00      
90 & 6                     &  0             &  0.10           &  0.18         &  62.67        &  0          &  6.16            &  80.43      &  62.67      
90 & 8                     &  0             &  0.13           &  0.38         &  76.67        &  5          &  14.09           &  3060.16    &  76.67      
90 & 10                    &  0             &  0.49           &  111.21       &  122.44       &  9          &  56.14           &  3600.00    &  135.44     
90 & 12                    &  0             &  0.81           &  1.94         &  126.00       &  9          &  420.97          &  3600.00    &  158.44     
90 & 14                    &  0             &  1.29           &  20.29        &  146.00       &  9          &  1295.66         &  3600.00    &  242.62     
90 & 16                    &  1             &  8.05           &  611.54       &  207.89       &  9          &  1668.90         &  3600.00    &  347.17     
90 & 18                    &  2             &  25.99          &  1634.24      &  229.89       &  9          &  1630.65         &  3600.00    &  381.50     
135 & 2                    &  0             &  0.01           &  0.01         &  16.33        &  0          &  0.05            &  0.12       &  16.33      
135 & 4                    &  0             &  0.03           &  0.03         &  25.00        &  0          &  1.88            &  8.17       &  25.00      
135 & 6                    &  0             &  0.25           &  0.26         &  62.67        &  0          &  16.24           &  207.81     &  62.67      
135 & 8                    &  0             &  0.30           &  0.74         &  76.67        &  9          &  24.20           &  3600.00    &  78.11      
135 & 10                   &  0             &  2.75           &  234.21       &  121.56       &  9          &  119.30          &  3600.00    &  145.11     
135 & 12                   &  0             &  2.22           &  5.51         &  126.00       &  9          &  1072.44         &  3600.00    &  179.25     
135 & 14                   &  0             &  8.68           &  219.19       &  146.00       &  9          &  2063.45         &  3600.00    &  259.67     
135 & 16                   &  2             &  48.58          &  907.46       &  220.22       &  9          &  919.61          &  3600.00    &  405        
135 & 18                   &  4             &  110.28         &  2589.28      &  252.78       &  9          &  3232.04         &  3600.00    &  369        
180 & 2                    &  0             &  0.02           &  0.02         &  16.33        &  0          &  0.09            &  0.22       &  16.33      
180 & 4                    &  0             &  0.03           &  0.12         &  25.00        &  0          &  2.90            &  20.02      &  25.00      
180 & 6                    &  0             &  0.17           &  0.61         &  62.67        &  0          &  29.46           &  714.93     &  62.67      
180 & 8                    &  0             &  0.15           &  1.67         &  76.67        &  9          &  103.33          &  3600.00    &  80.11      
180 & 10                   &  0             &  3.29           &  42.92        &  120.67       &  9          &  798.14          &  3600.00    &  162.00     
180 & 12                   &  0             &  3.66           &  11.67        &  126.00       &  9          &  1268.69         &  3600.00    &  184.56     
180 & 14                   &  0             &  10.73          &  327.89       &  146.00       &  9          &  1271.54         &  3600.00    &  240.60     
180 & 16                   &  1             &  16.83          &  758.51       &  209.56       &  9          &  2709.80         &  3600.00    &  420.50     
180 & 18                   &  2             &  33.73          &  1121.21      &  220.44       &  9          &  2696.72         &  3600.00    &  489.50     
225 & 2                    &  0             &  0.02           &  0.02         &  16.33        &  0          &  0.16            &  0.35       &  16.33      
225 & 4                    &  0             &  0.04           &  0.11         &  27.00        &  0          &  5.05            &  42.98      &  25.00      
225 & 6                    &  0             &  0.30           &  0.92         &  62.67        &  0          &  33.44           &  1389.65    &  62.67      
225 & 8                    &  0             &  0.60           &  1.79         &  76.67        &  9          &  421.83          &  3600.00    &  82.00      
225 & 10                   &  0             &  4.03           &  105.56       &  120.67       &  9          &  1336.48         &  3600.00    &  172.22     
225 & 12                   &  0             &  3.97           &  15.12        &  126.00       &  9          &  1700.60         &  3600.00    &  262.67     
225 & 14                   &  1             &  27.78          &  453.54       &  157.44       &  9          &  2469.18         &  3600.00    &  273.00     
225 & 16                   &  0             &  25.68          &  481.44       &  207.33       &  9          &  nan             &  3600.00    &  nan        
225 & 18                   &  3             &  128.03         &  1390.98      &  243.00       &  9          &  nan             &  3600.00    &  nan        
270 & 2                    &  0             &  0.02           &  0.02         &  16.33        &  0          &  0.23            &  0.52       &  16.33      
270 & 4                    &  0             &  0.05           &  0.16         &  25.00        &  0          &  7.51            &  76.94      &  25.00      
270 & 6                    &  0             &  0.08           &  1.76         &  62.67        &  1          &  107.51          &  2363.50    &  62.67      
270 & 8                    &  0             &  0.40           &  2.35         &  76.67        &  9          &  702.13          &  3600.00    &  94.89      
270 & 10                   &  1             &  1.84           &  438.28       &  121.33       &  9          &  1916.61         &  3600.00    &  216.25     
270 & 12                   &  0             &  3.03           &  25.99        &  126.00       &  9          &  2316.13         &  3600.00    &  209.80     
270 & 14                   &  0             &  27.20          &  253.90       &  146.00       &  9          &  nan             &  3600.00    &  nan        
270 & 16                   &  1             &  76.26          &  537.52       &  222.22       &  9          &  nan             &  3600.00    &  nan        
270 & 18                   &  4             &  91.38          &  2200.98      &  239.22       &  9          &  nan             &  3600.00    &  nan        

