# |S| & |V|       &  @time13_tl         &  @firstint13    &  @time13    &  @cost13       &  @time1_tl  &  @firstint1   &  @time1     &  @cost1       
90 & 2            &  0                  &  0.01           &  0.01       &  19.67         &  0          &  0.03         &  0.07       &  19.67        
90 & 4            &  0                  &  0.03           &  0.05       &  56.33         &  0          &  1.02         &  2.06       &  56.33        
90 & 6            &  0                  &  0.08           &  0.15       &  130.67        &  0          &  5.92         &  16.36      &  158.50       
90 & 8            &  0                  &  0.14           &  0.73       &  162.44        &  0          &  26.13        &  196.38     &  166.89       
90 & 10           &  0                  &  0.60           &  1.40       &  193.00        &  1          &  68.70        &  893.57     &  227.44       
90 & 12           &  0                  &  4.01           &  6.24       &  277.44        &  4          &  241.60       &  2223.44    &  384.33       
90 & 14           &  1                  &  24.33          &  616.70     &  335.17        &  1          &  350.68       &  953.60     &  455.00       
90 & 16           &  3                  &  67.46          &  1322.07    &  588.20        &  0          &  330.64       &  1714.93    &  618.00       
90 & 18           &  3                  &  610.65         &  1871.00    &  499.75        &  5          &  671.74       &  2163.21    &  547.00       
135 & 2           &  0                  &  0.01           &  0.01       &  19.67         &  0          &  0.05         &  0.12       &  19.67        
135 & 4           &  0                  &  0.07           &  0.09       &  56.33         &  0          &  2.17         &  5.80       &  56.33        
135 & 6           &  0                  &  0.17           &  0.20       &  130.67        &  0          &  14.80        &  135.11     &  179.56       
135 & 8           &  0                  &  0.27           &  0.45       &  159.67        &  0          &  62.51        &  658.16     &  165.22       
135 & 10          &  0                  &  0.96           &  2.12       &  191.00        &  6          &  263.55       &  3092.05    &  223.78       
135 & 12          &  0                  &  4.97           &  8.42       &  270.33        &  7          &  505.15       &  3018.57    &  371.11       
135 & 14          &  3                  &  34.41          &  1292.02    &  327.17        &  5          &  800.86       &  2554.44    &  531.75       
135 & 16          &  3                  &  320.69         &  1616.16    &  564.00        &  6          &  1044.08      &  3216.73    &  713.75       
135 & 18          &  4                  &  377.22         &  2052.87    &  600.60        &  8          &  1655.28      &  3309.91    &  786.00       
180 & 2           &  0                  &  0.01           &  0.01       &  19.67         &  0          &  0.09         &  0.20       &  19.67        
180 & 4           &  0                  &  0.03           &  0.16       &  56.33         &  0          &  2.80         &  10.97      &  56.33        
180 & 6           &  0                  &  0.11           &  0.34       &  130.67        &  0          &  12.39        &  221.59     &  156.22       
180 & 8           &  0                  &  0.06           &  0.92       &  159.67        &  3          &  160.48       &  2381.46    &  159.67       
180 & 10          &  0                  &  1.65           &  4.10       &  191.00        &  9          &  712.76       &  3600.00    &  247.33       
180 & 12          &  0                  &  3.44           &  4.46       &  267.33        &  9          &  1837.74      &  3600.00    &  400.29       
180 & 14          &  3                  &  276.71         &  1262.25    &  416.86        &  9          &  2549.79      &  3600.00    &  749.80       
180 & 16          &  5                  &  767.30         &  2885.68    &  507.33        &  9          &  3139.49      &  3600.00    &  1045.00      
180 & 18          &  6                  &  732.56         &  2539.11    &  675.00        &  9          &  nan          &  3600.00    &  nan          
225 & 2           &  0                  &  0.01           &  0.01       &  19.67         &  0          &  0.15         &  0.33       &  19.67        
225 & 4           &  0                  &  0.03           &  0.26       &  56.33         &  0          &  4.27         &  22.11      &  56.33        
225 & 6           &  0                  &  0.35           &  0.53       &  130.67        &  0          &  86.50        &  481.99     &  157.44       
225 & 8           &  0                  &  0.46           &  1.69       &  159.67        &  6          &  231.23       &  2885.80    &  164.22       
225 & 10          &  0                  &  3.42           &  5.95       &  191.00        &  9          &  1331.91      &  3600.00    &  275.11       
225 & 12          &  0                  &  6.62           &  13.65      &  267.33        &  9          &  2254.52      &  3600.00    &  495.00       
225 & 14          &  3                  &  184.34         &  1380.54    &  480.62        &  9          &  2298.47      &  3600.00    &  510.00       
225 & 16          &  6                  &  691.40         &  2798.31    &  571.17        &  9          &  3233.45      &  3600.00    &  827.50       
225 & 18          &  7                  &  142.55         &  2808.82    &  547.75        &  9          &  nan          &  3600.00    &  nan          
270 & 2           &  0                  &  0.02           &  0.02       &  19.67         &  0          &  0.22         &  0.48       &  19.67        
270 & 4           &  0                  &  0.08           &  0.38       &  56.33         &  0          &  6.24         &  41.78      &  56.33        
270 & 6           &  0                  &  0.26           &  0.58       &  130.67        &  2          &  84.45        &  1373.08    &  159.11       
270 & 8           &  0                  &  0.61           &  1.33       &  159.67        &  7          &  1172.24      &  3350.94    &  167.56       
270 & 10          &  0                  &  2.29           &  8.01       &  191.00        &  9          &  2632.52      &  3600.00    &  362.75       
270 & 12          &  0                  &  12.63          &  16.38      &  267.33        &  9          &  2926.11      &  3600.00    &  322          
270 & 14          &  3                  &  187.20         &  1287.60    &  401.14        &  9          &  nan          &  3600.00    &  nan          
270 & 16          &  7                  &  756.57         &  3078.49    &  685.14        &  9          &  nan          &  3600.00    &  nan          
270 & 18          &  6                  &  928.86         &  2420.82    &  838.50        &  9          &  nan          &  3600.00    &  nan          
