cost13   cost12   time14   time13   time12   cost14   optimal13   optimal12   optimal14 
76        76        0.891     0.889     0.882     76        1            1            1 
186       207       3600.00   3600.00   3600      -         0            0            0 
175       175       19.112    19.988    30.27     175       1            1            1 
-         -         3600.00   3600.00   3600.00   -         0            0            0 
117       148       1074.7    1342.26   3600.00   117       1            0            1 
33        33        1.91      0.436     1.173     33        1            1            1 
65        65        22.699    12.82     30.102    65        1            1            1 
65        65        3.568     25.26     22.206    65        1            1            1 
-         -         3600.00   3600.00   3600.00   -         0            0            0 
-         -         3600.00   3600.00   3600.00   -         0            0            0 
237       302       3600.00   3600.00   3600.00   621       0            0            0 
119       119       568.028   185.357   1283.63   119       1            1            1 
828       -         3600.00   3600.00   3600.00   -         0            0            0 
559       472       3600.00   3600.00   3600.00   572       0            0            0 
263       295       3600.00   3600.00   3600.00   232       0            0            0 
76        76        0.879     0.877     0.879     76        1            1            1 
173       178       3600.00   3600.00   3600.00   175       0            0            0 
33        33        0.129     0.133     0.132     33        1            1            1 
170       170       126.221   37.954    80.625    170       1            1            1 
122       138       3600.00   3600.00   3600.00   132       0            0            0 
119       119       72.81     131.045   187.834   119       1            1            1 
13        13        0.011     0.011     0.011     13        1            1            1 
26        26        0.009     0.009     0.009     26        1            1            1 
33        33        0.149     0.154     0.323     33        1            1            1 
76        76        0.488     0.49      0.488     76        1            1            1 
277       309       3600.00   3600.00   3600.00   279       0            0            0 
33        33        2.246     3.199     2.345     33        1            1            1 
76        76        1.279     0.607     0.734     76        1            1            1 
675       679       3600      3600.00   3600.00   -         0            0            0 
184       184       8.507     8.864     31.556    184       1            1            1 
13        13        0.009     0.009     0.009     13        1            1            1 
68        68        13.295    16.012    32.325    68        1            1            1 
117       117       3600.00   136.46    3135.82   137       1            1            0 
132       143       3600.00   3600.00   3600.00   127       0            0            0 
65        65        2.372     3.615     4.023     65        1            1            1 
26        26        0.008     0.008     0.008     26        1            1            1 
65        65        12.335    38.72     26.946    65        1            1            1 
771       1057      3600.00   3600.00   3600.00   771       0            0            0 
76        76        0.169     0.17      0.169     76        1            1            1 
-         639       3600.00   3600.00   3600.00   -         0            0            0 
33        33        0.319     0.247     0.355     33        1            1            1 
523       501       3600.00   3600.00   3600.00   469       0            0            0 
76        76        0.129     0.127     0.126     76        1            1            1 
179       179       39.989    26.262    40.861    179       1            1            1 
172       177       3600.00   3600.00   3600.00   166       0            0            0 
68        68        11.028    8.234     16.526    68        1            1            1 
33        33        2.071     2.343     5.028     33        1            1            1 
168       168       26.189    19.364    296.773   168       1            1            1 
237       286       3600.00   3600.00   3600.00   222       0            0            0 
119       119       644.011   195.852   419.982   119       1            1            1 
-         -         7.92      8.856     9.679     -         0            0            0 
400       292       3600.00   3600.00   3600.00   -         0            0            0 
13        13        0.013     0.013     0.013     13        1            1            1 
-         -         492.38    597.609   632.755   -         0            0            0 
26        26        0.01      0.01      0.01      26        1            1            1 
157       157       3600.00   44.291    124.034   -         1            1            0 
26        26        0.008     0.008     0.008     26        1            1            1 
65        65        12.827    7.421     7.459     65        1            1            1 
65        65        2.275     1.478     2.602     65        1            1            1 
179       179       91.22     56.793    118.018   179       1            1            1 
68        68        30.178    17.694    24.002    68        1            1            1 
13        13        0.01      0.01      0.01      13        1            1            1 
531       418       3600.00   3600.00   3600.00   215       0            0            0 
-         -         3600.00   3600.00   3600.00   -         0            0            0 
-         -         131.028   151.446   150.81    -         0            0            0 
491       436       3600.00   3600.00   3600.00   658       0            0            0 
26        26        0.006     0.006     0.007     26        1            1            1 
732       763       3600.00   3600.00   3600.00   514       0            0            0 
13        13        0.007     0.007     0.007     13        1            1            1 
65        65        20.685    12.431    31.022    65        1            1            1 
-         -         3600.00   3600.00   3600.00   -         0            0            0 
65        65        6.003     7.496     4.412     65        1            1            1 
117       117       3600.00   544.908   2953.56   167       1            1            0 
119       119       10.095    21.473    32.257    119       1            1            1 
273       288       3600.00   3600      3600.00   243       0            0            0 
173       170       3600.00   3600.00   3600.00   -         0            0            0 
65        65        13.134    8.814     9.137     65        1            1            1 
68        68        6.339     6.168     13.827    68        1            1            1 
178       180       3600.00   3600.00   3600.00   180       0            0            0 
68        68        32.454    27.111    39.14     68        1            1            1 
427       337       3600.00   3600.00   3600.00   256       0            0            0 
153       153       208.389   19.16     239.248   153       1            1            1 
170       170       124.609   76.843    184.169   170       1            1            1 
-         -         3600.00   3600.00   3600.00   -         0            0            0 
375       397       3600.00   3600.00   3600.00   349       0            0            0 
13        13        0.008     0.008     0.008     13        1            1            1 
382       344       3600.00   3600.00   3600.00   305       0            0            0 
755       686       3600.00   3600.00   3600.00   924       0            0            0 
168       168       38.193    33.779    56.407    168       1            1            1 
26        26        0.007     0.007     0.011     26        1            1            1 
153       153       12.144    3.371     16.407    153       1            1            1 
2141      2527      3600.00   3600.00   3600.00   -         0            0            0 
-         -         3600.00   3600.00   3600.00   -         0            0            0 
117       124       3600.00   154.817   3600.00   139       1            0            0 
451       432       3600.00   3600.00   3600.00   -         0            0            0 
68        68        19.901    16.26     35.186    68        1            1            1 
119       119       348.443   247.78    403.027   119       1            1            1 
65        65        13.6      9.761     21.564    65        1            1            1 
65        65        24.168    17.449    33.723    65        1            1            1 
177       177       3600.00   3600.00   3600.00   177       0            0            0 
658       780       3600.00   3600.00   3600.00   449       0            0            0 
709       263       3600.00   3600.00   3600.00   225       0            0            0 
168       168       3600      4.49      37.786    -         1            1            0 
524       401       3600.00   3600.00   3600.00   379       0            0            0 
250       297       3600      3600.00   3600.00   244       0            0            0 
-         -         167.264   178.171   219.582   -         0            0            0 
119       119       62.612    59.525    119.371   119       1            1            1 
65        65        35.618    12.725    19.251    65        1            1            1
