cost12    cost13    time13    time14    cost14    optimal12    optimal14    time12    optimal13 
224       192       1861.16   2487.57   192       0            1            3600   1 
13        13        0.117     0.117     13        1            1            0.116     1 
117       117       508.304   918.427   117       1            1            1460.67   1 
227       209       3600   3600   199       0            0            3600   0 
228       193       2730.39   3600   215       0            0            3600   1 
152       150       980.534   359.079   150       0            1            3600   1 
33        33        0.025     0.024     33        1            1            0.026     1 
68        68        8.541     2.622     68        1            1            9.563     1 
168       168       5.449     3.023     168       1            1            5.671     1 
229       237       3600.4    3600   220       0            0            3600   0 
65        65        19.529    15.907    65        1            1            31.416    1 
157       157       0.496     1.036     157       1            1            0.994     1 
171       171       25.013    17.867    171       1            1            25.593    1 
154       150       1412.6    3600   156       0            0            3600   1 
26        26        0.03      0.029     26        1            1            0.029     1 
68        68        0.533     0.163     68        1            1            0.391     1 
236       242       3600   3600   232       0            0            3600   0 
200       197       206.627   646.001   197       0            1            3600   1 
119       119       308.748   241.878   119       1            1            327.22    1 
68        68        1.085     0.533     68        1            1            0.946     1 
119       119       0.417     0.738     119       1            1            5.148     1 
119       119       20.86     19.309    119       1            1            48.187    1 
33        33        0.109     0.157     33        1            1            0.137     1 
1000      919       3600      3600   796       0            0            3600   0 
-         -         0.089     0.089     -         0            0            0.089     0 
192       192       232.289   193.031   192       1            1            2274.59   1 
33        33        0.129     0.114     33        1            1            0.121     1 
88        88        0.064     0.065     88        1            1            0.065     1 
249       209       3600   3600   223       0            0            3600   0 
117       117       4.995     7.749     117       1            1            23.961    1 
465       465       208.849   99.775    465       1            1            441.578   1 
222       192       837.053   564.006   192       0            1            3600   1 
-         744       3600      3600   -         0            0            3600      0 
119       119       153.245   115.925   119       1            1            233.272   1 
65        65        0.309     0.288     65        1            1            0.587     1 
65        65        63.562    33.303    65        1            1            41.94     1 
154       158       3600   3600   152       0            0            3600   0 
153       153       1.862     3.129     153       1            1            3.714     1 
65        65        0.086     0.136     65        1            1            0.089     1 
726       692       3600   3600   581       0            0            3600   0 
13        13        0.004     0.004     13        1            1            0.004     1 
1103      1105      3600   3600   -         0            0            3600      0 
192       192       88.912    18.038    192       1            1            623.356   1 
65        65        88.538    124.377   65        1            1            106.441   1 
206       206       55.53     51.909    206       1            1            109.985   1 
33        33        9.619     6.163     33        1            1            6.143     1 
119       119       2.136     2.934     119       1            1            23.336    1 
117       117       65.989    23.944    117       1            1            230.504   1 
68        68        35.062    29.305    68        1            1            35.31     1 
76        76        0.434     0.434     76        1            1            0.436     1 
65        65        5.181     7.5       65        1            1            8.004     1 
119       119       1341.12   1566.41   119       1            1            1243.74   1 
33        33        3.799     4.092     33        1            1            6.059     1 
33        33        7.845     8.047     33        1            1            7.874     1 
120       117       1620.74   1176.56   117       0            1            3600   1 
13        13        0.013     0.013     13        1            1            0.013     1 
68        68        330.471   185.719   68        1            1            345.994   1 
13        13        0.006     0.006     13        1            1            0.006     1 
152       150       2098.01   566.012   150       0            1            3600   1 
153       153       27.719    29.111    153       1            1            25.691    1 
222       208       3600   3600   216       0            0            3600   0 
26        26        0.005     0.005     26        1            1            0.006     1 
68        68        87.337    43.139    68        1            1            114.336   1 
168       168       91.906    47.401    168       1            1            74.542    1 
120       120       4.922     5.739     120       1            1            18.839    1 
65        65        0.274     0.15      65        1            1            0.293     1 
231       225       3600   3596.72   225       0            1            3600   0 
168       168       0.519     0.329     168       1            1            1.09      1 
13        13        0.056     0.054     13        1            1            0.055     1 
152       152       846.003   600.432   152       1            1            889.779   1 
65        65        250.205   141.093   65        1            1            247.189   1 
13        13        0.03      0.03      13        1            1            0.03      1 
723       546       3600   3600   516       0            0            3600   0 
117       117       136.642   137.38    117       1            1            555.882   1 
444       405       1479.51   3600   422       0            0            3600   1
