time13   time14   optimal12   optimal14   time12   optimal13 
3600.14   3600.14   0            0            3600.02   0 
508.304   918.427   1            1            1460.67   1 
0.028     0.038     1            1            0.033     1 
0.025     0.024     1            1            0.026     1 
0.338     0.322     1            1            0.397     1 
25.013    17.867    1            1            25.593    1 
20.86     19.309    1            1            48.187    1 
0.073     0.067     0            0            0.074     0 
0.089     0.089     0            0            0.089     0 
655.104   2063.1    1            1            1233.99   1 
232.289   193.031   1            1            2274.59   1 
0.007     0.007     1            1            0.007     1 
3600.13   3600.02   0            0            3600.03   0 
0.004     0.004     1            1            0.004     1 
3600.02   3600.01   0            0            3600      0 
88.912    18.038    1            1            623.356   1 
3600.13   284.062   0            1            3600.16   0 
1341.12   1566.41   1            1            1243.74   1 
25.407    26.871    1            1            23.682    1 
2.72      11.419    1            1            9.021     1 
87.337    43.139    1            1            114.336   1 
0.032     0.035     1            1            0.033     1 
0.496     0.316     1            1            1.034     1 
0.056     0.054     1            1            0.055     1 
846.003   600.432   1            1            889.779   1 
1861.16   2487.57   0            1            3600.09   1 
789.826   3600.04   1            0            3585.81   1 
0.054     0.055     1            1            0.054     1 
3600.01   3600.09   0            0            3600.01   0 
0.109     0.157     1            1            0.137     1 
24.256    19.211    1            1            18.847    1 
1412.6    3600.04   0            0            3600.07   1 
0.069     0.067     1            1            0.069     1 
3600.26   3600.01   0            0            3600.01   0 
837.053   564.006   0            1            3600.06   1 
88.538    124.377   1            1            106.441   1 
18.163    14.85     1            1            29.151    1 
5.181     7.5       1            1            8.004     1 
2.015     1.401     1            1            2.053     1 
7.845     8.047     1            1            7.874     1 
1.192     1.207     1            1            1.213     1 
0.271     0.152     1            1            0.286     1 
51.31     14.277    1            1            44.953    1 
0.309     0.288     1            1            0.587     1 
250.205   141.093   1            1            247.189   1 
0.03      0.03      1            1            0.03      1 
0.025     0.024     1            1            0.022     1 
8.541     2.622     1            1            9.563     1 
0.471     0.978     1            1            0.954     1 
1.085     0.533     1            1            0.946     1 
1.764     2.948     1            1            3.47      1 
35.062    29.305    1            1            35.31     1 
3600.4    3600.12   0            0            3600.37   0 
0.117     0.117     1            1            0.116     1 
1427.55   3600.1    0            0            3600.06   1 
0.533     0.163     1            1            0.391     1 
3600.61   3600.56   0            0            3600.67   0 
3600.03   3600.1    0            0            3600.24   0 
0.089     0.107     1            1            0.169     1 
191.976   579.56    0            1            3600.07   1 
308.748   241.878   1            1            327.22    1 
0.044     0.041     1            1            0.042     1 
136.642   137.38    1            1            555.882   1 
0.129     0.114     1            1            0.121     1 
4.995     7.749     1            1            23.961    1 
3600.11   3600.1    0            0            3600.07   0 
7.028     4.023     1            1            8.262     1 
177.494   121.832   1            1            115.337   1 
63.562    33.303    1            1            41.94     1 
3600.25   3600.23   0            0            3600.46   0 
0.086     0.136     1            1            0.089     1 
0.101     0.058     1            1            0.066     1 
3600.01   3600.01   0            0            3600.02   0 
65.989    23.944    1            1            230.504   1 
9.619     6.163     1            1            6.143     1 
0.421     0.421     1            1            0.416     1 
54.039    26.803    1            1            64.022    1 
330.471   185.719   1            1            345.994   1 
0.006     0.006     1            1            0.006     1 
0.009     0.005     1            1            0.009     1 
3600.03   3596.72   0            1            3600.01   0 
0.071     0.075     0            0            0.074     0 
1620.74   1176.56   0            1            3600.43   1 
3600.19   3600.13   0            0            3600.05   0 
3600.16   3600.23   0            0            3600.13   0 
3600.52   3600.12   0            0            3600.58   0 
2730.39   3600.09   0            0            3600.07   1 
980.534   359.079   0            1            3600.01   1 
5.058     2.86      1            1            5.31      1 
3600.01   3600.01   0            0            3600.01   0 
9.029     7.744     1            1            9.84      1 
195.089   92.277    1            1            410.422   1 
0.417     0.738     1            1            5.148     1 
153.245   115.925   1            1            233.272   1 
2804      364.689   1            1            1295.07   1 
3600.02   3600.05   0            0            3600.01   0 
51.603    49.015    1            1            102.89    1 
2.136     2.934     1            1            23.336    1 
0.288     0.292     1            1            0.293     1 
3.799     4.092     1            1            6.059     1 
0.01      0.014     1            1            0.015     1 
0.013     0.013     1            1            0.013     1 
846.202   731.206   1            1            553.557   1 
2098.01   566.012   0            1            3600.09   1 
3600.05   3600.03   0            0            3600.02   0 
85.109    43.777    1            1            68.678    1 
4.922     5.739     1            1            18.839    1 
0.422     0.43      0            0            0.43      0 
