cost13      cost12     time14      time13      time12      cost14     optimal13   optimal12   optimal14 
221          236         3600.00      3600.00      3600.00      225         0            0            0 
168.00    168.00   0.58      10.19     1.81      168.00   1.00      1.00      1.00 
119.00    119.00   32.39     17.52     29.20     119.00   1.00      1.00      1.00 
160          164         2996.94      2936.48      3600.00      160         1            0            1 
13.00     13.00    0.02      0.02      0.10      13.00    1.00      1.00      1.00 
26           26          0.018        0.016        0.017        26          1            1            1 
65.00     65.00    0.06      0.06      0.06      65.00    1.00      1.00      1.00 
65           65          0.124        0.124        0.124        65          1            1            1 
76.00     76.00    0.04      0.05      0.04      76.00    1.00      1.00      1.00 
201          206         3455.74      2457.2       3600.00      201         1            0            1 
-            -           3600.00   3600.00   3600.00   -           0.00      0.00      0.00 
158          158         822.398      541.279      915.534      158         1            1            1 
13           13          0.007        0.007        0.007        13          1            1            1 
168.00    168.00   5.60      2.73      7.20      168.00   1.00      1.00      1.00 
26.00     26.00    0.01      0.01      0.01      26.00    1.00      1.00      1.00 
13           13          0.012        0.012        0.012        13          1            1            1 
26.00     26.00    0.01      0.01      0.01      26.00    1.00      1.00      1.00 
65           65          1.481        1.588        1.51         65          1            1            1 
65.00     65.00    0.16      4.74      0.31      65.00    1.00      1.00      1.00 
-            -           3600.00   3600.00   3600.00   -           0.00      0.00      0.00 
199          271         2539.96      2437.59      3600.00      199         1            0            1 
33           33          0.036        0.038        0.038        33          1            1            1 
331          363         3600.00      3600.00      3600.00      -           0            0            0 
76.00     76.00    0.20      0.20      0.20      76.00    1.00      1.00      1.00 
459.00    549.00   3600.00   3600.00   3600.00   -           0.00      0.00      0.00 
192.00    273.00   3600.00   171.36    3600.00   -           1.00      0.00      0.00 
-            -           3600.00      3600.00      3600.00      -           0            0            0 
181.00    181.00   12.10     9.76      14.97     181.00   1.00      1.00      1.00 
68           68          3.209        28.57        4.356        68          1            1            1 
68.00     68.00    3.31      12.02     6.57      68.00    1.00      1.00      1.00 
153          153         3.703        2.751        6.033        153         1            1            1 
68           68          0.286        8.511        0.555        68          1            1            1 
153.00    153.00   3.10      1.21      1.58      153.00   1.00      1.00      1.00 
65           65          5.523        4.725        4.789        65          1            1            1 
65.00     65.00    1.39      0.71      0.89      65.00    1.00      1.00      1.00 
150          150         19.212       23.789       71.039       150         1            1            1 
168.00    168.00   11.12     8.34      20.63     168.00   1.00      1.00      1.00 
76.00     76.00    0.21      0.20      0.20      76.00    1.00      1.00      1.00 
33           33          0.739        0.189        0.491        33          1            1            1 
68           68          0.733        1.071        1.751        68          1            1            1 
153.00    153.00   1.27      0.98      1.26      153.00   1.00      1.00      1.00 
152          166         3600.00      3600.00      3600.00      158         0            0            0 
168.00    168.00   43.17     15.64     87.59     168.00   1.00      1.00      1.00 
192.00    269.00   869.83    2134.48   3600.00   192.00   1.00      0.00      1.00 
-            -           3600.00      3600.00      3600.00      -           0            0            0 
65           65          2.517        1.444        0.883        65          1            1            1 
220          292         3600.00      3600.00      3600.00      -           0            0            0 
192          221         475.49       243.332      3600.00      192         1            0            1 
65.00     65.00    46.38     3.96      17.75     65.00    1.00      1.00      1.00 
-            -           3600.00   3600.00   3600.00   -           0.00      0.00      0.00 
119.00    119.00   18.15     144.69    163.59    119.00   1.00      1.00      1.00 
244          277         3600.00      3600.00      3600.00      -           0            0            0 
407.00    423.00   3600.00   1997.16   3600.00   -           1.00      0.00      0.00 
119          119         63.556       91.818       233.018      119         1            1            1 
777.00    885.00   3600.00   3600.00   3600.00   -           0.00      0.00      0.00 
225.00    225.00   3439.14   3600.00   3600.00   225.00   0.00      0.00      0.50 
117          117         270.221      99.574       619.994      117         1            1            1 
-            -           3600.00   3600.00   3600.00   952         0.00      0.00      0.00 
76.00     76.00    1.69      1.70      1.70      76.00    1.00      1.00      1.00 
117          117         1210.44      88.268       2797.04      117         1            1            1 
33           33          0.041        0.042        0.043        33          1            1            1 
76           76          0.452        0.451        0.481        76          1            1            1 
33.00     33.00    0.04      0.04      0.04      33.00    1.00      1.00      1.00 
486.00    486.00   1097.21   1339.32   2897.90   486.00   1.00      1.00      1.00 
300          320         3600.00      3600.00      3600.00      -           0            0            0 
68.00     68.00    14.34     7.20      12.60     68.00    1.00      1.00      1.00 
153          153         2.704        7.004        17.362       153         1            1            1 
26.00     26.00    0.01      0.01      0.01      26.00    1.00      1.00      1.00 
13.00     13.00    0.01      0.01      0.01      13.00    1.00      1.00      1.00 
26           26          0.012        0.013        0.009        26          1            1            1 
13           13          0.008        0.008        0.01         13          1            1            1 
303          314         3600.00      3600.00      3600.00      -           0            0            0 
473.00    473.00   3600.00   665.37    2706.20   -           1.00      1.00      0.00 
215.00    208.00   3600.00   3600.00   3600.00   209.00   0.00      0.00      0.00 
-            -           3600.00      3600.00      3600.00      -           0            0            0 
119          119         14.417       32.256       58.026       119         1            1            1 
117.00    117.00   842.00    539.73    351.93    117.00   1.00      1.00      1.00 
1204.00   -           3600.00   3600.00   3600.00   -           0.00      0.00      0.00 
117          117         3600.00      357.515      2082.13      127         1            1            0 
127          117         3600.00      3600.00      542.402      133         0            1            0 
-            -           3600.00   3600.00   3600.00   -           0.00      0.00      0.00 
221.00    235.00   1972.43   2024.26   3600.00   221.00   1.00      0.00      1.00 
119          119         8.785        5.065        17.062       119         1            1            1 
65.00     65.00    0.90      0.89      3.51      65.00    1.00      1.00      1.00 
65           65          4.609        3.756        6.327        65          1            1            1 
325.00    287.00   3600.00   3600.00   3600.00   321.00   0.00      0.00      0.00 
150.00    150.00   1271.66   68.60     2319.77   150.00   1.00      1.00      1.00 
506          543         3600.00      3600.00      3600.00      462         0            0            0 
168          168         3.977        5.849        15.983       168         1            1            1
