#                                  &  @time13_tl     &  @firstint13    &  @time13  &  @cost13 &    \\ 
\end{tabular}                                                                                  
 \hline                                                                                        
\n begin{tabular} { l r r r r }                                                                
20 & 2                         &  0              &  0.00           &  0.00       &  16.33      \\ 
20 & 4                         &  0              &  0.01           &  0.01       &  25.22      \\ 
20 & 6                         &  0              &  0.01           &  0.04       &  64.00      \\ 
20 & 8                         &  0              &  0.01           &  0.06       &  77.00      \\ 
20 & 10                        &  0              &  0.09           &  3.68       &  137.33     \\ 
20 & 12                        &  0              &  0.10           &  0.80       &  127.44     \\ 
20 & 14                        &  0              &  3.31           &  27.79      &  154.78     \\ 
20 & 16                        &  0              &  16.22          &  112.29     &  239.89     \\ 
20 & 18                        &  1              &  453.65         &  455.42     &  284.67     \\ 
40 & 2                         &  0              &  0.01           &  0.01       &  16.33      \\ 
40 & 4                         &  0              &  0.01           &  0.03       &  25.00      \\ 
40 & 6                         &  0              &  0.02           &  0.07       &  62.67      \\ 
40 & 8                         &  0              &  0.03           &  0.18       &  76.67      \\ 
40 & 10                        &  0              &  0.06           &  14.54      &  120.67     \\ 
40 & 12                        &  0              &  0.15           &  1.11       &  126.00     \\ 
40 & 14                        &  0              &  0.12           &  6.64       &  146.00     \\ 
40 & 16                        &  0              &  0.18           &  17.05      &  207.33     \\ 
40 & 18                        &  0              &  0.16           &  307.75     &  220.00     \\ 
80 & 2                         &  0              &  0.01           &  0.01       &  16.33      \\ 
80 & 4                         &  0              &  0.04           &  0.11       &  25.00      \\ 
80 & 6                         &  0              &  0.10           &  0.26       &  62.67      \\ 
80 & 8                         &  0              &  0.11           &  1.14       &  76.67      \\ 
80 & 10                        &  0              &  0.37           &  27.75      &  120.67     \\ 
80 & 12                        &  0              &  0.28           &  11.52      &  126.00     \\ 
80 & 14                        &  0              &  0.59           &  40.68      &  146.00     \\ 
80 & 16                        &  0              &  0.45           &  79.48      &  207.33     \\ 
80 & 18                        &  0              &  0.57           &  454.94     &  219.33     \\ 
120 & 2                        &  0              &  0.03           &  0.03       &  16.33      \\ 
120 & 4                        &  0              &  0.10           &  0.28       &  25.00      \\ 
120 & 6                        &  0              &  0.19           &  0.81       &  62.67      \\ 
120 & 8                        &  0              &  0.33           &  3.82       &  76.67      \\ 
120 & 10                       &  0              &  0.58           &  151.31     &  120.67     \\ 
120 & 12                       &  0              &  1.07           &  45.04      &  126.00     \\ 
120 & 14                       &  0              &  1.53           &  261.53     &  146.00     \\ 
120 & 16                       &  1              &  3.15           &  811.67     &  213.89     \\ 
120 & 18                       &  1              &  2.30           &  1131.59    &  221.11     \\ 
160 & 2                        &  0              &  0.06           &  0.07       &  16.33      \\ 
160 & 4                        &  0              &  0.22           &  0.37       &  25.00      \\ 
160 & 6                        &  0              &  0.43           &  2.75       &  62.67      \\ 
160 & 8                        &  0              &  1.35           &  15.02      &  76.67      \\ 
160 & 10                       &  0              &  1.20           &  439.84     &  120.67     \\ 
160 & 12                       &  0              &  2.30           &  171.68     &  126.00     \\ 
160 & 14                       &  0              &  7.44           &  459.90     &  146.00     \\ 
160 & 16                       &  2              &  4.96           &  1465.58    &  217.78     \\ 
160 & 18                       &  4              &  12.51          &  2836.10    &  225.78     \\ 
200 & 2                        &  0              &  0.14           &  0.14       &  16.33      \\ 
200 & 4                        &  0              &  0.51           &  1.64       &  25.00      \\ 
200 & 6                        &  0              &  1.70           &  5.48       &  62.67      \\ 
200 & 8                        &  0              &  1.93           &  28.39      &  76.67      \\ 
200 & 10                       &  0              &  3.48           &  852.14     &  120.67     \\ 
200 & 12                       &  0              &  17.45          &  399.44     &  126.00     \\ 
200 & 14                       &  2              &  5.14           &  1721.79    &  153.22     \\ 
200 & 16                       &  3              &  9.56           &  2005.01    &  225.00     \\ 
200 & 18                       &  6              &  8.15           &  3375.40    &  230.44     \\ 
