#                                 &  @time13_tl    &  @firstint13    &  @time13    &  @cost13 &    \\ 
\end{tabular}                                                                                  
 \hline                                                                                        
\n begin{tabular} { l r r r r                                                  }
90 & 2                        &  0             &  0.01           &  0.01         &  16.33      \\ 
90 & 4                        &  0             &  0.02           &  0.03         &  25.00      \\ 
90 & 6                        &  0             &  0.10           &  0.18         &  62.67      \\ 
90 & 8                        &  0             &  0.13           &  0.38         &  76.67      \\ 
90 & 10                       &  0             &  0.49           &  111.21       &  122.44     \\ 
90 & 12                       &  0             &  0.81           &  1.94         &  126.00     \\ 
90 & 14                       &  0             &  1.29           &  20.29        &  146.00     \\ 
90 & 16                       &  1             &  8.05           &  611.54       &  207.89     \\ 
90 & 18                       &  2             &  25.99          &  1634.24      &  229.89     \\ 
135 & 2                       &  0             &  0.01           &  0.01         &  16.33      \\ 
135 & 4                       &  0             &  0.03           &  0.03         &  25.00      \\ 
135 & 6                       &  0             &  0.25           &  0.26         &  62.67      \\ 
135 & 8                       &  0             &  0.30           &  0.74         &  76.67      \\ 
135 & 10                      &  0             &  2.75           &  234.21       &  121.56     \\ 
135 & 12                      &  0             &  2.22           &  5.51         &  126.00     \\ 
135 & 14                      &  0             &  8.68           &  219.19       &  146.00     \\ 
135 & 16                      &  2             &  48.58          &  907.46       &  220.22     \\ 
135 & 18                      &  4             &  110.28         &  2589.28      &  252.78     \\ 
180 & 2                       &  0             &  0.02           &  0.02         &  16.33      \\ 
180 & 4                       &  0             &  0.03           &  0.12         &  25.00      \\ 
180 & 6                       &  0             &  0.17           &  0.61         &  62.67      \\ 
180 & 8                       &  0             &  0.15           &  1.67         &  76.67      \\ 
180 & 10                      &  0             &  3.29           &  42.92        &  120.67     \\ 
180 & 12                      &  0             &  3.66           &  11.67        &  126.00     \\ 
180 & 14                      &  0             &  10.73          &  327.89       &  146.00     \\ 
180 & 16                      &  1             &  16.83          &  758.51       &  209.56     \\ 
180 & 18                      &  2             &  33.73          &  1121.21      &  220.44     \\ 
225 & 2                       &  0             &  0.02           &  0.02         &  16.33      \\ 
225 & 4                       &  0             &  0.04           &  0.11         &  27.00      \\ 
225 & 6                       &  0             &  0.30           &  0.92         &  62.67      \\ 
225 & 8                       &  0             &  0.60           &  1.79         &  76.67      \\ 
225 & 10                      &  0             &  4.03           &  105.56       &  120.67     \\ 
225 & 12                      &  0             &  3.97           &  15.12        &  126.00     \\ 
225 & 14                      &  1             &  27.78          &  453.54       &  157.44     \\ 
225 & 16                      &  0             &  25.68          &  481.44       &  207.33     \\ 
225 & 18                      &  3             &  128.03         &  1390.98      &  243.00     \\ 
270 & 2                       &  0             &  0.02           &  0.02         &  16.33      \\ 
270 & 4                       &  0             &  0.05           &  0.16         &  25.00      \\ 
270 & 6                       &  0             &  0.08           &  1.76         &  62.67      \\ 
270 & 8                       &  0             &  0.40           &  2.35         &  76.67      \\ 
270 & 10                      &  1             &  1.84           &  438.28       &  121.33     \\ 
270 & 12                      &  0             &  3.03           &  25.99        &  126.00     \\ 
270 & 14                      &  0             &  27.20          &  253.90       &  146.00     \\ 
270 & 16                      &  1             &  76.26          &  537.52       &  222.22     \\ 
270 & 18                      &  4             &  91.38          &  2200.98      &  239.22     \\ 
