# file Status  time cplex  time back10  10cguCost  cplexCost  cplexInfeasible  10cguInfeasible
1       Infeasible  -            -          -          -                1                -
2       Infeasible  -            -          -          -                1                -
3       Infeasible  -            -          -          -                1                -
4       -           -            -          -          -                1                -
4 2     -           0.00         0.00       -          14               -                -
5       -           -            -          -          -                1                -
5 2     -           0.00         0.00       14         0                -                0
6       -           -            -          -          -                1                -
6 2     -           0.00         0.00       14         0                -                0
6 3     -           0.00         0.00       -          0                -                1
7       -           -            -          -          -                1                -
7 2     -           0.00         0.00       14         14               -                0
7 3     -           0.01         0.00       38         38               -                0
8       -           -            -          -          -                1                -
8 2     -           0.00         0.00       -          0                -                1
8 3     -           0.00         0.00       -          0                -                1
8 4     -           0.00         0.00       -          0                -                1
9       -           -            -          -          -                1                -
9 2     -           0.00         0.00       -          42               -                -
9 3     -           0.00         0.00       -          0                -                -
9 4     -           0.01         0.00       -          0                -                1
10      -           -            -          -          -                1                -
10 2    -           0.16         0.00       14         14               -                0
10 3    -           0.04         0.01       38         38               -                0
10 4    -           0.02         0.00       60         60               -                0
10 5    -           0.03         0.01       86         0                -                0
11 2    -           0.01         0.01       14         14               -                0
11 3    -           0.02         0.01       38         38               -                0
11 4    -           0.05         0.00       60         60               -                0
11 5    -           0.04         0.01       86         86               -                0
12 2    -           0.01         0.01       14         14               -                0
12 3    -           0.01         0.00       38         38               -                0
12 4    -           0.03         0.01       60         60               -                0
12 5    -           0.02         0.00       86         127              -                0
12 6    -           0.04         0.01       104        104              -                0
13 2    -           0.01         0.01       14         14               -                0
13 3    -           0.06         0.00       38         38               -                0
13 4    -           0.06         0.00       60         60               -                0
13 5    -           0.14         0.01       86         86               -                0
13 6    -           0.19         0.01       104        104              -                0
14 2    -           0.01         0.00       14         14               -                0
14 3    -           0.02         0.00       38         38               -                0
14 4    -           0.04         0.01       60         60               -                0
14 5    -           0.19         0.01       86         99               -                0
14 6    -           0.15         0.01       104        104              -                0
