time cplex  10bestcguCost  time back10  10cguCost  cplexCost  cplexInfeasible  10cguInfeasible
1           -              -            -          -          -                1                -
2           -              -            -          -          -                1                -
3           -              -            -          -          -                1                -
4           -              -            -          -          -                1                -
4 2         0.01           -            0.00       20         20               -                0
5           -              -            -          -          -                1                -
5 2         0.01           -            0.00       20         20               -                0
6           -              -            -          -          -                1                -
6 2         0.01           -            0.00       20         20               -                0
6 3         0.00           -            0.00       -          0                -                1
7           -              -            -          -          -                1                -
7 2         0.01           -            0.00       20         20               -                0
7 3         0.01           -            0.00       35         54               -                0
8           -              -            -          -          -                1                -
8 2         0.01           -            0.00       20         20               -                0
8 3         0.01           -            0.01       35         35               -                0
8 4         0.01           -            0.01       81         0                -                0
9           -              -            -          -          -                1                -
9 2         0.01           -            0.00       20         20               -                0
9 3         0.01           -            0.01       35         35               -                0
9 4         0.01           -            0.01       81         0                -                0
10          -              -            -          -          -                1                -
10 2        0.01           -            0.00       20         20               -                0
10 3        0.02           -            0.01       35         35               -                0
10 4        0.01           -            0.01       81         0                -                0
10 5        0.02           -            0.01       78         78               -                0
11          -              -            -          -          -                1                -
11 2        0.01           -            0.00       20         20               -                0
11 3        0.05           -            0.00       35         35               -                0
11 4        0.03           -            0.01       81         81               -                0
11 5        0.05           -            0.01       78         78               -                0
12          -              -            -          -          -                1                -
12 2        0.01           -            0.00       20         20               -                0
12 3        0.02           -            0.00       35         35               -                0
12 4        0.04           -            0.01       81         98               -                0
12 5        0.03           -            0.00       78         78               -                0
12 6        0.13           -            0.01       97         97               -                0
13          -              -            -          -          -                1                -
13 2        0.01           -            0.00       20         20               -                0
13 3        0.02           -            0.00       35         35               -                0
13 4        0.02           -            0.01       81         120              -                0
13 5        0.03           78           901.11     -          99               -                0
13 6        0.06           -            0.01       97         127              -                0
14 2        0.01           -            0.01       20         20               -                0
14 3        0.10           -            0.01       35         35               -                0
14 4        0.14           -            0.01       81         98               -                0
14 5        0.08           -            0.01       78         78               -                0
14 6        0.18           -            0.01       97         97               -                0
14 7        0.20           -            0.01       130        0                -                0
15 2        0.01           -            0.00       20         20               -                0
15 3        0.02           -            0.00       35         35               -                0
15 4        0.02           -            0.01       81         0                -                0
15 5        0.02           -            0.01       78         78               -                0
15 6        0.04           -            0.01       97         127              -                0
15 7        0.05           -            0.01       130        0                -                0
16 2        0.01           -            0.01       20         20               -                0
16 3        0.09           -            0.00       35         35               -                0
16 4        0.05           -            0.01       81         81               -                0
16 5        0.12           -            0.01       78         78               -                0
16 6        0.22           -            0.01       97         97               -                0
16 7        0.38           -            0.01       130        130              -                0
16 8        1.55           -            0.01       136        136              -                0
17 2        0.01           -            0.01       20         20               -                0
17 3        0.05           -            0.00       35         35               -                0
17 4        0.05           -            0.01       81         81               -                0
17 5        0.08           -            0.01       78         78               -                0
17 6        0.19           -            0.01       97         97               -                0
17 7        0.24           -            0.01       130        149              -                0
17 8        0.70           -            0.01       136        151              -                0
18 2        0.01           -            0.01       20         20               -                0
18 3        0.05           -            0.00       35         35               -                0
18 4        0.05           -            0.01       81         81               -                0
18 5        0.06           -            0.01       78         78               -                0
18 6        0.20           -            0.01       97         97               -                0
18 7        0.30           -            0.01       130        149              -                0
18 8        1.27           -            0.01       136        136              -                0
18 9        0.43           -            0.01       177        213              -                0
19 2        0.01           -            0.01       20         20               -                0
19 3        0.08           -            0.01       35         35               -                0
19 4        0.12           -            0.01       81         98               -                0
19 5        0.09           -            0.01       78         78               -                0
19 6        0.14           -            0.01       97         97               -                0
19 7        0.23           -            0.01       130        200              -                0
19 8        1.12           -            0.01       136        152              -                0
19 9        0.40           -            0.01       177        210              -                0
20 10       2.39           -            0.01       196        196              -                0
20 2        0.02           -            0.00       20         20               -                0
20 3        0.08           -            0.00       35         35               -                0
20 4        0.09           -            0.01       81         81               -                0
20 5        0.13           -            0.01       78         78               -                0
20 6        0.38           -            0.01       97         97               -                0
20 7        0.36           -            0.01       130        130              -                0
20 8        1.49           -            0.01       136        136              -                0
20 9        1.10           -            0.01       177        177              -                0
21 10       0.48           -            0.01       196        288              -                0
21 2        0.01           -            0.01       20         20               -                0
21 3        0.06           -            0.00       35         35               -                0
21 4        0.06           -            0.01       81         81               -                0
21 5        0.13           -            0.01       78         78               -                0
21 6        0.20           -            0.01       97         97               -                0
21 7        0.23           -            0.01       130        155              -                0
21 8        1.02           -            0.01       136        136              -                0
21 9        0.28           -            0.01       177        0                -                0
22 10       1.54           -            0.01       196        238              -                0
22 11       1.19           -            0.02       229        306              -                0
22 2        0.02           -            0.01       20         20               -                0
22 3        0.10           -            0.00       35         35               -                0
22 4        0.07           -            0.01       81         81               -                0
22 5        0.13           -            0.01       78         78               -                0
22 6        0.32           -            0.01       97         97               -                0
22 7        0.25           -            0.01       130        130              -                0
