#       &&unf&  @cguCost           &  @cgtime        &  @cgipathtime  &  @cgcptime  &  @cgpathtime  &  @columns  &  @xfrac  \&  @ffrac  
\hline
50&2&0&  38.00$\pm$19.82    &  0.01$\pm$0.00  &0&0&0&3&0&0
75&2&0&  38.00$\pm$19.82    &  0.01$\pm$0.00  &0&9&0&3&0&0
125&2&0&  38.00$\pm$19.82    &  0.01$\pm$0.00  &0&12&0&3&0&0
250&2&0&  38.00$\pm$19.82    &  0.05$\pm$0.01  &3&55&0&3&0&0
500&2&0&  38.00$\pm$19.82    &  0.16$\pm$0.00  &5&59&3&3&0&0
50&4&0&  111.33$\pm$32.97   &  0.01$\pm$0.00  &0&10&0&6.22&9.44&0.22
75&4&0&  111.33$\pm$32.97   &  0.01$\pm$0.00  &0&9&0&6.11&9.56&0.22
125&4&0&  111.33$\pm$32.97   &  0.02$\pm$0.00  &3&9&0&6.11&9.33&0
250&4&0&  111.33$\pm$32.97   &  0.04$\pm$0.00  &5&42&4&6&9.56&0
500&4&0&  111.33$\pm$32.97   &  0.15$\pm$0.02  &5&46&11&6.11&9.44&0
50&8&0&  349.67$\pm$89.16   &  0.01$\pm$0.00  &0&10&0&19.11&26&2.33
75&8&0&  349.67$\pm$89.16   &  0.01$\pm$0.00  &0&15&0&19.11&26.22&2
125&8&0&  349.67$\pm$89.16   &  0.02$\pm$0.00  &4&15&0&17.78&26.33&1.33
250&8&0&  349.67$\pm$89.16   &  0.05$\pm$0.00  &4&43&9&16.11&26.11&0.22
500&8&0&  349.67$\pm$89.16   &  0.19$\pm$0.02  &4&44&17&15.67&25.67&0
50&16&0&  911.33$\pm$93.50   &  0.02$\pm$0.00  &0&27&0&55.89&67.22&10.22
75&16&0&  911.33$\pm$93.50   &  0.02$\pm$0.00  &1&20&1&49.44&66.89&6.56
125&16&0&  911.33$\pm$93.50   &  0.06$\pm$0.04  &2&49&11&45.22&67&4.22
250&16&0&  911.33$\pm$93.50   &  0.09$\pm$0.01  &3&43&22&42.11&63.89&1.78
500&16&0&  911.33$\pm$93.50   &  0.30$\pm$0.04  &3&37&33&41.22&63.22&0.44
75&32&0&  2658.67$\pm$87.04  &  0.11$\pm$0.02  &0&69&12&183.56&173.78&35.78
125&32&0&  2658.67$\pm$87.04  &  0.11$\pm$0.01  &1&54&23&145.89&161.89&19.78
250&32&0&  2658.67$\pm$87.04  &  0.21$\pm$0.02  &2&40&37&129&156&11.33
500&32&0&  2658.67$\pm$87.04  &  0.68$\pm$0.08  &2&29&50&119.89&152&4
\hline
50&2&0&  83.00$\pm$9.27      &  0.01$\pm$0.00  &0&0&0&2.11&0&0
75&2&0&  83.00$\pm$9.27      &  0.01$\pm$0.00  &0&0&9&2.78&0&0
125&2&0&  83.00$\pm$9.27      &  0.02$\pm$0.00  &0&0&15&3&0&0
250&2&0&  83.00$\pm$9.27      &  0.05$\pm$0.01  &3&0&54&3&0&0
500&2&0&  83.00$\pm$9.27      &  0.16$\pm$0.00  &5&3&59&3&0&0
50&4&7&  461.50$\pm$16.50    &  0.00$\pm$0.00  &0&0&0&2&11&1
75&4&4&  623.00$\pm$447.62   &  0.01$\pm$0.00  &0&0&0&4.33&11&2.4
125&4&0&  246.56$\pm$33.69    &  0.02$\pm$0.02  &0&0&13&6.33&10.11&0.67
250&4&0&  257.44$\pm$64.17    &  0.04$\pm$0.00  &4&0&48&6&10&0
500&4&0&  235.67$\pm$6.94     &  0.15$\pm$0.02  &5&3&54&6.67&10.11&0.22
50&8&6&  470.00$\pm$0.00     &  0.00$\pm$0.00  &0&0&0&5.56&26.67&2.67
75&8&6&  591.00$\pm$171.12   &  0.01$\pm$0.01  &0&0&0&9.11&26.33&3.33
125&8&1&  572.25$\pm$99.73    &  0.02$\pm$0.01  &0&0&0&16.33&27.12&2
250&8&0&  569.11$\pm$85.74    &  0.06$\pm$0.01  &3&7&49&18.56&26.56&1.33
500&8&0&  548.00$\pm$64.52    &  0.18$\pm$0.02  &5&13&46&16.89&26.44&0.44
50&16&9&0&  0.00$\pm$0.00  &0&0&0&0&0&0
75&16&9&0&  0.00$\pm$0.01  &0&0&0&6.33&0&0
125&16&8&1464&  0.02$\pm$0.03  &0&0&0&14.12&65&9
250&16&1&  1654.50$\pm$302.86  &  0.09$\pm$0.03  &2&15&44&45.44&66.88&5
500&16&0&  1472.56$\pm$132.58  &  0.32$\pm$0.04  &3&24&46&46.89&66.33&2.78
75&32&9&0&  0.00$\pm$0.00  &0&0&0&0&0&0
125&32&8&3937&  0.03$\pm$0.06  &0&2&10&23.14&186&33
250&32&4&  4264.60$\pm$401.23  &  0.14$\pm$0.12  &1&16&27&92&171.8&23.4
500&32&0&  4430.00$\pm$354.60  &  0.66$\pm$0.07  &2&41&37&149.56&174.78&8.22
