#             @time13   @ftime13 
40 4 vir1     0.013     0.031 
40 4 vir4     0.02      0.02 
40 14 vir1    0.715     11.444 
40 14 vir4    3600.03   3600.01 
120 6 vir4    0.864     7.671 
120 6 vir1    1.218     97.243 
40 18 vir4    3600.03   3600.01 
40 18 vir1    69.078    26.818 
200 12 vir1   1480.68   1101.06 
120 4 vir1    0.63      4.739 
160 8 vir4    2.528     53.594 
160 8 vir1    47.024    56.495 
20 14 vir1    0.656     34.812 
40 10 vir4    0.214     2.306 
20 14 vir4    0.049     0.049 
40 10 vir1    17.208    23.417 
40 8 vir4     0.177     0.441 
80 8 vir1     0.478     3.711 
80 8 vir4     0.696     1.271 
40 8 vir1     0.291     1.749 
80 4 vir4     0.11      0.122 
120 10 vir1   549.492   1137.89 
120 10 vir4   10.616    90.153 
80 4 vir1     0.076     0.223 
20 2 vir4     0.004     0.004 
80 18 vir1    257.932   230.981 
20 2 vir1     0.004     0.004 
80 18 vir4    988.316   3600.01 
120 12 vir4   9.37      1259.06 
120 12 vir1   110.77    350.088 
20 6 vir1     0.013     0.455 
20 6 vir4     0.03      0.016 
80 14 vir4    1883.76   3600.04 
80 14 vir1    11.75     93.368 
160 10 vir4   62.47     303.744 
80 6 vir1     0.123     12.23 
80 6 vir4     0.705     3.875 
200 4 vir1    5.199     2.819 
80 2 vir4     0.013     0.015 
200 4 vir4    1.334     1.199 
80 2 vir1     0.021     0.021 
40 2 vir1     0.006     0.007 
40 2 vir4     0.005     0.005 
160 10 vir1   866.093   3600.25 
20 16 vir1    103.395   1900.26 
20 16 vir4    0.045     0.045 
200 14 vir4   3600.47   3600.03 
200 14 vir1   264.127   2748.73 
200 2 vir1    0.193     0.184 
200 2 vir4    0.104     0.098 
200 16 vir4   3600.22   3600.32 
200 16 vir1   1475.63   3600.34 
160 12 vir1   286.478   1535.83 
160 12 vir4   51.908    365.926 
20 18 vir4    0.073     0.073 
20 18 vir1    0.095     0.099 
120 14 vir4   3444.44   3171.51 
20 12 vir4    0.03      0.03 
120 14 vir1   16.592    317.96 
20 12 vir1    1.246     6.235 
40 12 vir4    1.646     72.001 
160 4 vir1    1.099     3.836 
40 12 vir1    1.299     4.317 
160 4 vir4    0.4       0.418 
200 8 vir4    18.292    66.607 
200 8 vir1    183.117   97.614 
40 6 vir4     0.033     0.548 
40 6 vir1     0.118     0.877 
120 4 vir4    0.19      0.313 
160 18 vir1   3480.99   3600.44 
160 14 vir1   295.327   1042.89 
120 8 vir1    9.401     97.022 
160 14 vir4   3600.17   3600.17 
120 8 vir4    2.409     5.495 
120 18 vir1   406.877   1927.04 
20 4 vir4     0.013     0.007 
20 4 vir1     0.008     0.036 
160 16 vir4   3600.35   1326.28 
160 16 vir1   2415.59   3600.17 
120 18 vir4   2834.69   3600 
200 12 vir4   326.871   3384.42 
80 12 vir1    28.11     51.391 
80 12 vir4    12.428    73.459 
40 16 vir1    25.712    418.245 
40 16 vir4    22.826    109.175 
200 10 vir1   2552.7    3600.18 
200 10 vir4   55.97     415.477 
160 6 vir1    0.96      2.312 
160 6 vir4    4.163     45.099 
160 18 vir4   3191.74   3600.34 
80 16 vir4    76.837    592.568 
120 16 vir1   710.316   3146.86 
80 16 vir1    710.159   3600.12 
120 16 vir4   475.019   537.41 
160 2 vir4    0.052     0.053 
200 6 vir4    3.084     102.17 
160 2 vir1    0.105     0.148 
200 6 vir1    2.145     833.823 
120 2 vir1    0.046     0.059 
120 2 vir4    0.026     0.03 
200 18 vir1   3600.54   3600.93 
200 18 vir4   3600.28   3600.6 
80 10 vir1    157.599   227.204 
80 10 vir4    1.327     9.611 
20 10 vir4    0.272     0.451 
20 10 vir1    3.626     2.175 
20 8 vir1     0.215     0.444 
20 8 vir4     0.202     0.129 
