#             @time13   @ftime13 
175 4 vir4    0.454     0.807 
125 10 vir1   840.295   3600.04 
125 10 vir4   1.291     18.024 
150 14 vir4   3600.05   3600.07 
150 14 vir1   11.752    1273.41 
175 4 vir1    0.392     0.428 
225 6 vir4    9.025     10.263 
225 6 vir1    0.052     23.655 
200 14 vir4   3600.1    3600.08 
175 14 vir4   3600.01   3600.13 
175 12 vir4   9.002     3600.03 
200 12 vir1   9.016     172.471 
150 16 vir4   3600.07   3600.01 
150 16 vir1   3600.02   3600.15 
200 12 vir4   10.236    3600.07 
225 4 vir4    0.81      0.792 
250 10 vir1   3600.01   3600.05 
225 4 vir1    0.043     0.136 
175 10 vir4   7.847     33.935 
250 14 vir1   26.047    3600.05 
175 12 vir1   20.458    124.006 
225 2 vir1    0.017     0.014 
225 2 vir4    0.015     0.016 
150 4 vir1    0.038     0.161 
150 4 vir4    0.302     0.398 
225 12 vir4   31.049    3600 
200 4 vir1    0.397     2.92 
200 4 vir4    0.22      0.565 
125 16 vir1   3600.03   3600.09 
125 8 vir4    9.559     8.002 
175 2 vir1    0.017     0.015 
225 8 vir1    3.214     14.929 
200 14 vir1   27.783    125.601 
125 14 vir1   19.297    3600.04 
175 6 vir4    0.307     3.247 
175 2 vir4    0.013     0.009 
250 6 vir1    1.518     36.655 
125 16 vir4   3600.04   3600.14 
125 4 vir4    0.065     0.148 
200 16 vir4   3600.05   3600 
125 4 vir1    0.148     0.249 
200 16 vir1   3600.12   3600.03 
250 4 vir4    1.407     0.129 
150 8 vir4    3.22      21.223 
225 10 vir1   3600.12   3600.11 
150 8 vir1    1.371     7.909 
250 4 vir1    0.119     2.254 
225 10 vir4   7.586     17.726 
250 12 vir4   32.498    3600 
250 12 vir1   75.564    185.529 
125 18 vir4   9.567     7.869 
150 18 vir1   3600.07   3600.12 
250 2 vir1    0.018     0.017 
150 18 vir4   324.338   490.735 
250 2 vir4    0.018     0.011 
225 8 vir4    2.272     35.303 
200 2 vir4    0.014     0.011 
125 6 vir1    0.228     7.304 
125 6 vir4    0.041     1.349 
200 8 vir4    215.229   50.055 
200 8 vir1    6.587     16.986 
200 2 vir1    0.015     0.017 
225 18 vir1   3600.14   3600.04 
225 18 vir4   3600.09   3600.16 
125 14 vir4   167.308   124.3 
225 16 vir1   3600.01   3600.04 
125 2 vir4    0.011     0.006 
225 16 vir4   3600.06   3600.13 
125 2 vir1    0.012     0.007 
175 6 vir1    1.193     11.7 
225 14 vir4   3600.04   3600.04 
150 6 vir4    0.041     6.136 
225 14 vir1   12.339    511.159 
150 12 vir1   8.239     20.253 
150 12 vir4   14.522    3600.01 
175 10 vir1   3600.03   3600.12 
150 6 vir1    0.057     8.448 
175 8 vir1    2.823     6.136 
200 10 vir1   3600.02   3600.02 
250 8 vir1    12.581    25.248 
250 18 vir1   3600.01   3600.11 
250 8 vir4    3.074     16.886 
200 10 vir4   5.337     67.205 
250 18 vir4   3600.03   3600.3 
250 16 vir1   3600.18   3600.24 
150 2 vir1    0.014     0.009 
175 18 vir1   3600.08   3600.07 
175 16 vir4   3600.03   3600.01 
250 10 vir4   3.942     31.479 
150 2 vir4    0.012     0.012 
175 8 vir4    1.153     2.99 
250 14 vir4   3600.13   3600.07 
175 18 vir4   3600      3600.07 
175 14 vir1   8.138     152.983 
175 16 vir1   3600.04   3600.1 
125 8 vir1    2.429     16.139 
225 12 vir1   30.709    248.815 
200 6 vir4    0.058     8.854 
200 6 vir1    0.675     16.645 
150 10 vir1   1799.58   3600.02 
250 16 vir4   3600.14   3600.14 
125 18 vir1   3600.07   3600.03 
150 10 vir4   1.474     4.208 
200 18 vir1   3600.03   3600.01 
125 12 vir4   3.495     3600 
200 18 vir4   276.307   162.642 
125 12 vir1   26.273    62.938 
250 6 vir4    0.764     11.422 
