#             @time13   @ftime13 
40 4 vir1     0.01      0.11 
40 4 vir4     0.072     0.065 
40 14 vir1    1.566     5.303 
40 14 vir4    2669.98   3600.01 
120 6 vir4    1.898     8.681 
120 6 vir1    0.197     76.201 
40 18 vir4    2802.66   3600.04 
40 18 vir1    79.849    91.307 
200 12 vir1   438.017   1675.98 
120 4 vir1    0.099     4.055 
160 8 vir4    2.014     29.098 
160 8 vir1    5.634     117.993 
20 14 vir1    1.742     5.022 
40 10 vir4    0.498     0.515 
20 14 vir4    0.549     0.435 
40 10 vir1    91.292    897.822 
40 8 vir4     1.986     0.513 
80 8 vir1     2.723     9.391 
80 8 vir4     0.547     1.893 
40 8 vir1     0.277     1.167 
80 4 vir4     0.053     0.042 
120 10 vir1   629.401   1734.32 
120 10 vir4   6.312     29.61 
80 4 vir1     0.102     0.141 
20 2 vir4     0.004     0.004 
80 18 vir1    665.146   266.632 
20 2 vir1     0.004     0.005 
80 18 vir4    3600.01   3600.06 
120 12 vir4   36.084    3600.1 
120 12 vir1   48.689    167.095 
20 6 vir1     0.008     0.086 
20 6 vir4     0.011     0.1 
80 14 vir4    3600.04   3600.06 
80 14 vir1    5.428     73.293 
160 10 vir4   16.074    98.759 
80 6 vir1     0.1       5.733 
80 6 vir4     0.247     2.178 
200 4 vir1    1.128     9.807 
80 2 vir4     0.008     0.008 
200 4 vir4    0.855     1.319 
80 2 vir1     0.013     0.014 
40 2 vir1     0.005     0.005 
40 2 vir4     0.005     0.006 
160 10 vir1   1475.25   2653.06 
20 16 vir1    554.698   3600.03 
20 16 vir4    0.069     0.069 
200 14 vir4   3600.38   3600.14 
200 14 vir1   326.055   1687.39 
200 2 vir1    0.105     0.104 
200 2 vir4    0.052     0.054 
200 16 vir4   3600.39   3600.28 
200 16 vir1   3600.06   3600.36 
160 12 vir1   266.209   434.523 
160 12 vir4   58.821    207.559 
20 18 vir4    0.067     0.067 
20 18 vir1    0.089     0.092 
120 14 vir4   3600.11   3600.21 
20 12 vir4    5.072     9.626 
120 14 vir1   62.583    164.384 
20 12 vir1    0.414     0.413 
40 12 vir4    2.316     58.023 
160 4 vir1    0.2       11.403 
40 12 vir1    0.863     2.186 
160 4 vir4    0.341     0.451 
200 8 vir4    3.104     78.448 
200 8 vir1    38.461    420.276 
40 6 vir4     0.05      0.276 
40 6 vir1     0.052     0.313 
120 4 vir4    0.285     0.329 
160 18 vir1   2332.87   2560.43 
160 14 vir1   56.263    515.043 
120 8 vir1    10.329    39.169 
160 14 vir4   3600.14   3600.18 
120 8 vir4    1.978     3.266 
120 18 vir1   522.81    1052.98 
20 4 vir4     0.018     0.024 
20 4 vir1     0.006     0.026 
160 16 vir4   2019.04   1546.67 
160 16 vir1   3600.01   3600.09 
120 18 vir4   3600.04   3600.09 
200 12 vir4   250.668   3600.09 
80 12 vir1    14.723    23.111 
80 12 vir4    4.384     726.457 
40 16 vir1    71.15     3600.01 
40 16 vir4    171.027   210.712 
200 10 vir1   2645.98   3600.47 
200 10 vir4   50.582    232.537 
160 6 vir1    0.747     112.237 
160 6 vir4    0.906     23.088 
160 18 vir4   3600.03   3600.5 
80 16 vir4    195.436   959.306 
120 16 vir1   1364.66   3408.23 
80 16 vir1    123.535   3600.07 
120 16 vir4   1283.68   938.861 
160 2 vir4    0.03      0.032 
200 6 vir4    23.593    61.3 
160 2 vir1    0.059     0.071 
200 6 vir1    1.888     338.093 
120 2 vir1    0.029     0.03 
120 2 vir4    0.018     0.018 
200 18 vir1   3405.92   3600.23 
200 18 vir4   3600.52   3600.32 
80 10 vir1    65.691    1097.51 
80 10 vir4    0.222     5.762 
20 10 vir4    0.195     0.348 
20 10 vir1    16.878    27.079 
20 8 vir1     0.097     0.535 
20 8 vir4     0.151     0.084 
