#             @time13   @ftime13 
180 12 vir4   8.462     3600.06 
135 10 vir4   0.911     10.138 
180 12 vir1   7.948     15.489 
135 10 vir1   479.63    2900.22 
270 2 vir1    0.022     0.015 
270 2 vir4    0.016     0.012 
225 6 vir4    0.06      0.06 
225 6 vir1    0.08      0.119 
225 4 vir4    0.044     0.044 
225 4 vir1    0.054     0.056 
90 18 vir1    774.905   3106.22 
90 18 vir4    3425.83   3600.04 
90 10 vir1    414.892   757.183 
90 2 vir1     0.012     0.012 
90 10 vir4    0.439     2.782 
90 2 vir4     0.011     0.01 
225 2 vir1    0.02      0.018 
225 2 vir4    0.013     0.017 
180 6 vir4    0.055     1.661 
180 6 vir1    0.088     4.195 
135 18 vir4   679.417   3600.07 
135 18 vir1   1802.12   2372.34 
135 4 vir1    0.043     0.039 
270 16 vir1   3600.2    3600.12 
135 4 vir4    0.338     0.19 
270 16 vir4   3600.02   3600.1 
180 18 vir1   201.336   154.68 
180 18 vir4   3600.06   3600.03 
135 8 vir4    1.703     9.668 
135 8 vir1    1.083     27.815 
180 8 vir1    0.847     10.711 
180 8 vir4    2.135     2.861 
225 8 vir1    4.663     8.35 
225 8 vir4    0.243     1.159 
135 6 vir1    0.272     4.693 
135 6 vir4    0.858     0.715 
225 10 vir1   137.671   23.054 
225 10 vir4   2.678     7.619 
90 4 vir4     0.202     0.209 
90 4 vir1     0.016     0.325 
90 8 vir1     0.037     1.738 
90 8 vir4     0.502     0.924 
270 10 vir1   168.62    3600.08 
270 10 vir4   4.443     15.062 
270 18 vir1   533.379   2060.24 
270 18 vir4   3600.06   3600.04 
270 6 vir4    0.105     1.521 
270 12 vir4   30.787    3600.01 
225 18 vir1   101.611   237.139 
270 6 vir1    0.099     3.995 
225 18 vir4   3600.03   3600.12 
270 12 vir1   66.238    140.637 
225 16 vir1   68.189    3600.13 
225 16 vir4   125.368   1906.14 
135 12 vir1   14.667    89.937 
225 14 vir4   3600.03   3600.01 
135 12 vir4   3.157     3600.01 
225 14 vir1   6.366     96.277 
90 14 vir4    3600.01   3600 
270 4 vir4    1.822     1.603 
90 14 vir1    1.801     157.564 
270 4 vir1    0.043     0.041 
180 4 vir4    0.036     0.471 
180 4 vir1    0.042     0.045 
135 16 vir4   325.523   1318.16 
135 16 vir1   3600.01   3600.01 
270 8 vir1    5.107     6.939 
270 8 vir4    0.359     7.338 
135 2 vir4    0.012     0.011 
180 2 vir1    0.012     0.015 
180 2 vir4    0.008     0.012 
135 2 vir1    0.011     0.008 
90 16 vir1    1102.07   3600 
90 16 vir4    50.753    667.294 
225 12 vir4   6.272     3600.01 
180 14 vir4   3600.02   3600.02 
225 12 vir1   10.119    31.207 
180 14 vir1   8.844     529.297 
270 14 vir4   3600.03   3600.06 
135 14 vir1   1.002     345.705 
270 14 vir1   46.564    3600.02 
135 14 vir4   3600.03   3600.01 
90 12 vir4    1.262     1958.02 
90 12 vir1    1.853     5.764 
90 6 vir4     0.125     0.819 
90 6 vir1     0.16      4.12 
180 16 vir1   3600.02   3600 
180 10 vir1   39.017    64.634 
180 16 vir4   3351.44   3600.03 
180 10 vir4   2.421     6.061 
