#             @time13   @ftime13 
40 4 vir1     0.029     0.031 
40 4 vir4     0.019     0.02 
40 14 vir1    17.979    11.444 
40 14 vir4    3600.03   3600.01 
120 6 vir4    22.88     7.671 
120 6 vir1    55.322    97.243 
40 18 vir4    3600      3600.01 
40 18 vir1    14.318    26.818 
200 12 vir1   2274.71   1101.06 
120 4 vir1    3.73      4.739 
160 8 vir4    57.106    53.594 
160 8 vir1    176.963   56.495 
20 14 vir1    50.236    34.812 
40 10 vir4    2.496     2.306 
20 14 vir4    0.049     0.049 
40 10 vir1    115.395   23.417 
40 8 vir4     0.417     0.441 
80 8 vir1     7.826     3.711 
80 8 vir4     2.411     1.271 
40 8 vir1     1.369     1.749 
80 4 vir4     0.109     0.122 
120 10 vir1   514.137   1137.89 
120 10 vir4   61.06     90.153 
80 4 vir1     0.222     0.223 
20 2 vir4     0.004     0.004 
80 18 vir1    240.686   230.981 
20 2 vir1     0.004     0.004 
80 18 vir4    3600.09   3600.01 
120 12 vir4   264.955   1259.06 
120 12 vir1   233.408   350.088 
20 6 vir1     0.457     0.455 
20 6 vir4     0.016     0.016 
80 14 vir4    2740.2    3600.04 
80 14 vir1    132.941   93.368 
160 10 vir4   193.918   303.744 
80 6 vir1     9.494     12.23 
80 6 vir4     3.567     3.875 
200 4 vir1    2.433     2.819 
80 2 vir4     0.013     0.015 
200 4 vir4    1.205     1.199 
80 2 vir1     0.021     0.021 
40 2 vir1     0.007     0.007 
40 2 vir4     0.005     0.005 
160 10 vir1   3600.51   3600.25 
20 16 vir1    2345.93   1900.26 
20 16 vir4    0.045     0.045 
200 14 vir4   3600.34   3600.03 
200 14 vir1   3357.66   2748.73 
200 2 vir1    0.192     0.184 
200 2 vir4    0.1       0.098 
200 16 vir4   3600.23   3600.32 
200 16 vir1   3601.26   3600.34 
160 12 vir1   879.728   1535.83 
160 12 vir4   695.069   365.926 
20 18 vir4    0.072     0.073 
20 18 vir1    0.096     0.099 
120 14 vir4   3600.05   3171.51 
20 12 vir4    0.03      0.03 
120 14 vir1   479.962   317.96 
20 12 vir1    5.492     6.235 
40 12 vir4    157.993   72.001 
160 4 vir1    3.187     3.836 
40 12 vir1    7.825     4.317 
160 4 vir4    0.435     0.418 
200 8 vir4    111.136   66.607 
200 8 vir1    76.225    97.614 
40 6 vir4     0.759     0.548 
40 6 vir1     0.881     0.877 
120 4 vir4    0.313     0.313 
160 18 vir1   3600.28   3600.44 
160 14 vir1   1460.55   1042.89 
120 8 vir1    45.485    97.022 
160 14 vir4   3600.25   3600.17 
120 8 vir4    6.21      5.495 
120 18 vir1   939.59    1927.04 
20 4 vir4     0.007     0.007 
20 4 vir1     0.034     0.036 
160 16 vir4   1174.43   1326.28 
160 16 vir1   3600.67   3600.17 
120 18 vir4   3600.04   3600 
200 12 vir4   3600.1    3384.42 
80 12 vir1    70.563    51.391 
80 12 vir4    266.747   73.459 
40 16 vir1    447.106   418.245 
40 16 vir4    140.087   109.175 
200 10 vir1   3422.93   3600.18 
200 10 vir4   336.068   415.477 
160 6 vir1    1.861     2.312 
160 6 vir4    67.665    45.099 
160 18 vir4   3600.42   3600.34 
80 16 vir4    190.235   592.568 
120 16 vir1   2735.12   3146.86 
80 16 vir1    3600.04   3600.12 
120 16 vir4   580.253   537.41 
160 2 vir4    0.052     0.053 
200 6 vir4    161.259   102.17 
160 2 vir1    0.105     0.148 
200 6 vir1    362.332   833.823 
120 2 vir1    0.045     0.059 
120 2 vir4    0.025     0.03 
200 18 vir1   3600.32   3600.93 
200 18 vir4   3600.44   3600.6 
80 10 vir1    82.216    227.204 
80 10 vir4    6.891     9.611 
20 10 vir4    0.605     0.451 
20 10 vir1    3.593     2.175 
20 8 vir1     0.4       0.444 
20 8 vir4     0.135     0.129 
