#             @time13   @ftime13 
175 4 vir4    0.796     0.807 
125 10 vir1   3600.02   3600.04 
125 10 vir4   15.513    18.024 
150 14 vir4   3600.01   3600.07 
150 14 vir1   54.504    1273.41 
175 4 vir1    0.415     0.428 
225 6 vir4    10.885    10.263 
225 6 vir1    53.43     23.655 
200 14 vir4   3600.09   3600.08 
175 14 vir4   3600.04   3600.13 
175 12 vir4   3600.06   3600.03 
200 12 vir1   315.376   172.471 
150 16 vir4   3600.01   3600.01 
150 16 vir1   3600.05   3600.15 
200 12 vir4   3600.03   3600.07 
225 4 vir4    0.785     0.792 
250 10 vir1   3600.06   3600.05 
225 4 vir1    0.133     0.136 
175 10 vir4   32.454    33.935 
250 14 vir1   3600.05   3600.05 
175 12 vir1   147.204   124.006 
225 2 vir1    0.012     0.014 
225 2 vir4    0.016     0.016 
150 4 vir1    0.158     0.161 
150 4 vir4    0.399     0.398 
225 12 vir4   3600.16   3600 
200 4 vir1    2.863     2.92 
200 4 vir4    0.562     0.565 
125 16 vir1   3600.05   3600.09 
125 8 vir4    7.976     8.002 
175 2 vir1    0.011     0.015 
225 8 vir1    19.302    14.929 
200 14 vir1   88.988    125.601 
125 14 vir1   3600.04   3600.04 
175 6 vir4    2.78      3.247 
175 2 vir4    0.013     0.009 
250 6 vir1    34.674    36.655 
125 16 vir4   3600      3600.14 
125 4 vir4    0.143     0.148 
200 16 vir4   3600.04   3600 
125 4 vir1    0.254     0.249 
200 16 vir1   3600.05   3600.03 
250 4 vir4    0.125     0.129 
150 8 vir4    21.034    21.223 
225 10 vir1   3600.16   3600.11 
150 8 vir1    7.337     7.909 
250 4 vir1    2.135     2.254 
225 10 vir4   15.754    17.726 
250 12 vir4   3600.07   3600 
250 12 vir1   220.249   185.529 
125 18 vir4   7.934     7.869 
150 18 vir1   3600.16   3600.12 
250 2 vir1    0.017     0.017 
150 18 vir4   502.873   490.735 
250 2 vir4    0.018     0.011 
225 8 vir4    31.455    35.303 
200 2 vir4    0.013     0.011 
125 6 vir1    6.215     7.304 
125 6 vir4    1.521     1.349 
200 8 vir4    69.287    50.055 
200 8 vir1    10.336    16.986 
200 2 vir1    0.015     0.017 
225 18 vir1   3600.23   3600.04 
225 18 vir4   3600.02   3600.16 
125 14 vir4   124.432   124.3 
225 16 vir1   3600.01   3600.04 
125 2 vir4    0.01      0.006 
225 16 vir4   3600.01   3600.13 
125 2 vir1    0.007     0.007 
175 6 vir1    21.819    11.7 
225 14 vir4   3600.04   3600.04 
150 6 vir4    4.324     6.136 
225 14 vir1   748.279   511.159 
150 12 vir1   21.227    20.253 
150 12 vir4   3600.01   3600.01 
175 10 vir1   3600.06   3600.12 
150 6 vir1    9.391     8.448 
175 8 vir1    5.778     6.136 
200 10 vir1   3600.05   3600.02 
250 8 vir1    19.205    25.248 
250 18 vir1   3600.04   3600.11 
250 8 vir4    32.361    16.886 
200 10 vir4   54.306    67.205 
250 18 vir4   3600      3600.3 
250 16 vir1   3600.09   3600.24 
150 2 vir1    0.011     0.009 
175 18 vir1   3600.15   3600.07 
175 16 vir4   3600.17   3600.01 
250 10 vir4   30.881    31.479 
150 2 vir4    0.012     0.012 
175 8 vir4    1.83      2.99 
250 14 vir4   3600.03   3600.07 
175 18 vir4   3600.03   3600.07 
175 14 vir1   3600.04   152.983 
175 16 vir1   3600.12   3600.1 
125 8 vir1    46.824    16.139 
225 12 vir1   75.462    248.815 
200 6 vir4    8.211     8.854 
200 6 vir1    12.693    16.645 
150 10 vir1   3600.05   3600.02 
250 16 vir4   3600.41   3600.14 
125 18 vir1   3600.01   3600.03 
150 10 vir4   7.064     4.208 
200 18 vir1   3600.02   3600.01 
125 12 vir4   3600.01   3600 
200 18 vir4   161.319   162.642 
125 12 vir1   54.828    62.938 
250 6 vir4    15.94     11.422 
