#             @addc_time13   @aux_time13   @pricing_time13   @primal_time13 
40 4 vir1     0              0             0.571             0 
40 4 vir4     0              0             0                 0 
40 14 vir1    0              0.0035        0.795             0.0802 
40 14 vir4    0              0.104         0.331             0.529 
120 6 vir4    0              0.839         0.0711            0.054 
120 6 vir1    0.000921       0.868         0.052             0.044 
40 18 vir4    0              0.0943        0.3               0.58 
40 18 vir1    0              0.0418        0.771             0.12 
200 12 vir1   0.00566        0.953         0.015             0.0232 
120 4 vir1    0              0.829         0.0576            0.0395 
160 8 vir4    3.53e-05       0.855         0.0491            0.0698 
160 8 vir1    0.007          0.918         0.0275            0.0339 
20 14 vir1    0              0             0.102             0.676 
40 10 vir4    0              0.00638       0.564             0.127 
20 14 vir4    0              0             0.4               0.222 
40 10 vir1    0              0.035         0.689             0.165 
40 8 vir4     0              0.00258       0.523             0.0206 
80 8 vir1     0              0.759         0.145             0.0433 
80 8 vir4     0              0.575         0.22              0.099 
40 8 vir1     0              0.00317       0.699             0.0178 
80 4 vir4     0              0.406         0.277             0.0099 
120 10 vir1   0.00327        0.871         0.0528            0.0592 
120 10 vir4   0              0.812         0.0873            0.0663 
80 4 vir1     0              0.778         0.113             0.00943 
20 2 vir4     0              0             0                 0 
80 18 vir1    0              0.795         0.125             0.0608 
20 2 vir1     0              0             0                 0 
80 18 vir4    0              0.621         0.138             0.222 
120 12 vir4   0              0.852         0.0664            0.0637 
120 12 vir1   1.86e-05       0.893         0.0498            0.0408 
20 6 vir1     0              0             0                 0.0295 
20 6 vir4     0              0             0                 0 
80 14 vir4    0              0.648         0.126             0.208 
80 14 vir1    0              0.795         0.128             0.0489 
160 10 vir4   0.00493        0.894         0.0378            0.0499 
80 6 vir1     0              0.758         0.126             0.0547 
80 6 vir4     0              0.693         0.154             0.0866 
200 4 vir1    0.0168         0.93          0.0142            0.0239 
80 2 vir4     0              0.571         0                 0 
200 4 vir4    0              0.862         0.0331            0.0697 
80 2 vir1     0              0.714         0                 0 
40 2 vir1     0              0             0                 0 
40 2 vir4     0              0             0                 0 
160 10 vir1   0.00488        0.926         0.0246            0.0392 
20 16 vir1    0              0             0.178             0.761 
20 16 vir4    0              0             0.3               0.225 
200 14 vir4   0.002          0.933         0.0243            0.0373 
200 14 vir1   0.00667        0.952         0.0154            0.0229 
200 2 vir1    0.034          0.857         0.0068            0.0476 
200 2 vir4    0.0357         0.786         0                 0.107 
200 16 vir4   0.00134        0.925         0.0262            0.0426 
200 16 vir1   0.00265        0.959         0.0151            0.0214 
160 12 vir1   0.00302        0.938         0.023             0.0289 
160 12 vir4   0.00013        0.905         0.0376            0.0489 
20 18 vir4    0              0             0.338             0.309 
20 18 vir1    0              0             0.571             0.143 
120 14 vir4   5.25e-05       0.854         0.0629            0.0705 
20 12 vir4    0              0             0.385             0.0769 
120 14 vir1   0.000483       0.896         0.0495            0.0388 
20 12 vir1    0              0             0.245             0.401 
40 12 vir4    0              0.103         0.591             0.204 
160 4 vir1    0.0129         0.918         0.0182            0.0267 
40 12 vir1    0              0.00584       0.796             0.0345 
160 4 vir4    0              0.833         0.046             0.0775 
200 8 vir4    0.00379        0.89          0.0341            0.0571 
200 8 vir1    0.011          0.94          0.0169            0.0248 
40 6 vir4     0              0.00199       0.614             0.00596 
40 6 vir1     0              0.00375       0.677             0.0025 
120 4 vir4    0              0.74          0.0888            0.0625 
160 18 vir1   0.00193        0.942         0.0226            0.0295 
160 14 vir1   0.00505        0.935         0.0244            0.0316 
120 8 vir1    0              0.849         0.0639            0.0525 
160 14 vir4   0.00148        0.902         0.0365            0.0533 
120 8 vir4    0              0.772         0.109             0.069 
120 18 vir1   0.00103        0.9           0.0474            0.0425 
20 4 vir4     0              0             0                 0 
20 4 vir1     0              0             0                 0 
160 16 vir4   0.000323       0.897         0.0416            0.0533 
160 16 vir1   0.00226        0.942         0.0231            0.0292 
120 18 vir4   0.000668       0.836         0.0685            0.087 
200 12 vir4   0.00172        0.934         0.0222            0.0363 
80 12 vir1    0              0.8           0.122             0.0496 
80 12 vir4    0              0.663         0.208             0.0891 
40 16 vir1    0              0.0865        0.635             0.231 
40 16 vir4    0              0.114         0.386             0.441 
200 10 vir1   0.00617        0.946         0.0181            0.0268 
200 10 vir4   0.00843        0.908         0.0301            0.0472 
160 6 vir1    0.00434        0.93          0.0222            0.0287 
160 6 vir4    0.00128        0.889         0.0348            0.0512 
160 18 vir4   0.00263        0.889         0.0397            0.0633 
80 16 vir4    0              0.628         0.209             0.132 
120 16 vir1   0.00156        0.897         0.0481            0.0436 
80 16 vir1    8.39e-07       0.771         0.0988            0.115 
120 16 vir4   0              0.84          0.0761            0.0675 
160 2 vir4    0              0.732         0                 0.0976 
200 6 vir4    0.00508        0.924         0.0228            0.036 
160 2 vir1    0.0222         0.844         0.0111            0.0444 
200 6 vir1    0.0158         0.916         0.0208            0.0359 
120 2 vir1    0              0.838         0                 0.027 
120 2 vir4    0              0.706         0                 0.0588 
200 18 vir1   0.000858       0.958         0.0155            0.0236 
200 18 vir4   0.00367        0.916         0.0279            0.0483 
80 10 vir1    0              0.77          0.126             0.0741 
80 10 vir4    0              0.636         0.199             0.0944 
20 10 vir4    0              0             0                 0.305 
20 10 vir1    0              0             0.139             0.285 
20 8 vir1     0              0             0                 0.104 
20 8 vir4     0              0             0                 0.128 
