#             @time13   @ftime13 
40 4 vir1     0.108     0.11 
40 4 vir4     0.065     0.065 
40 14 vir1    3.629     5.303 
40 14 vir4    3600.02   3600.01 
120 6 vir4    8.549     8.681 
120 6 vir1    42.578    76.201 
40 18 vir4    3600.02   3600.04 
40 18 vir1    95.051    91.307 
200 12 vir1   1888.78   1675.98 
120 4 vir1    3.771     4.055 
160 8 vir4    39.807    29.098 
160 8 vir1    75.274    117.993 
20 14 vir1    7.175     5.022 
40 10 vir4    0.538     0.515 
20 14 vir4    0.425     0.435 
40 10 vir1    677.48    897.822 
40 8 vir4     0.467     0.513 
80 8 vir1     9.253     9.391 
80 8 vir4     2.563     1.893 
40 8 vir1     1.405     1.167 
80 4 vir4     0.037     0.042 
120 10 vir1   3225.83   1734.32 
120 10 vir4   19.322    29.61 
80 4 vir1     0.123     0.141 
20 2 vir4     0.004     0.004 
80 18 vir1    267.769   266.632 
20 2 vir1     0.004     0.005 
80 18 vir4    3600.06   3600.06 
120 12 vir4   156.279   3600.1 
120 12 vir1   133.084   167.095 
20 6 vir1     0.06      0.086 
20 6 vir4     0.076     0.1 
80 14 vir4    3600.06   3600.06 
80 14 vir1    33.591    73.293 
160 10 vir4   85.76     98.759 
80 6 vir1     12.419    5.733 
80 6 vir4     1.937     2.178 
200 4 vir1    7.906     9.807 
80 2 vir4     0.008     0.008 
200 4 vir4    1.318     1.319 
80 2 vir1     0.014     0.014 
40 2 vir1     0.005     0.005 
40 2 vir4     0.005     0.006 
160 10 vir1   2015.78   2653.06 
20 16 vir1    3600      3600.03 
20 16 vir4    0.069     0.069 
200 14 vir4   3600.06   3600.14 
200 14 vir1   2426.7    1687.39 
200 2 vir1    0.104     0.104 
200 2 vir4    0.052     0.054 
200 16 vir4   3600.32   3600.28 
200 16 vir1   3600.77   3600.36 
160 12 vir1   509.774   434.523 
160 12 vir4   3600.02   207.559 
20 18 vir4    0.066     0.067 
20 18 vir1    0.089     0.092 
120 14 vir4   3600.05   3600.21 
20 12 vir4    13.52     9.626 
120 14 vir1   240.446   164.384 
20 12 vir1    0.463     0.413 
40 12 vir4    80.753    58.023 
160 4 vir1    9.413     11.403 
40 12 vir1    2.25      2.186 
160 4 vir4    0.44      0.451 
200 8 vir4    39.497    78.448 
200 8 vir1    338.522   420.276 
40 6 vir4     0.234     0.276 
40 6 vir1     0.858     0.313 
120 4 vir4    0.299     0.329 
160 18 vir1   1849.24   2560.43 
160 14 vir1   579.338   515.043 
120 8 vir1    36.672    39.169 
160 14 vir4   3600.06   3600.18 
120 8 vir4    3.233     3.266 
120 18 vir1   830.033   1052.98 
20 4 vir4     0.023     0.024 
20 4 vir1     0.025     0.026 
160 16 vir4   3600.07   1546.67 
160 16 vir1   3600.2    3600.09 
120 18 vir4   3600.04   3600.09 
200 12 vir4   650.615   3600.09 
80 12 vir1    27.304    23.111 
80 12 vir4    495.854   726.457 
40 16 vir1    3600.02   3600.01 
40 16 vir4    226.967   210.712 
200 10 vir1   3600.25   3600.47 
200 10 vir4   155.439   232.537 
160 6 vir1    115.764   112.237 
160 6 vir4    24.311    23.088 
160 18 vir4   3600.11   3600.5 
80 16 vir4    70.033    959.306 
120 16 vir1   3600.08   3408.23 
80 16 vir1    3600.04   3600.07 
120 16 vir4   3600.07   938.861 
160 2 vir4    0.029     0.032 
200 6 vir4    62.572    61.3 
160 2 vir1    0.057     0.071 
200 6 vir1    328.998   338.093 
120 2 vir1    0.029     0.03 
120 2 vir4    0.018     0.018 
200 18 vir1   3600.03   3600.23 
200 18 vir4   3600.72   3600.32 
80 10 vir1    690.272   1097.51 
80 10 vir4    4.635     5.762 
20 10 vir4    0.45      0.348 
20 10 vir1    34.61     27.079 
20 8 vir1     0.386     0.535 
20 8 vir4     0.092     0.084 
