#             @time13   @ftime13 
180 12 vir4   3600.07   3600.06 
135 10 vir4   5.69      10.138 
180 12 vir1   14.073    15.489 
135 10 vir1   3538.01   2900.22 
270 2 vir1    0.02      0.015 
270 2 vir4    0.016     0.012 
225 6 vir4    0.141     0.06 
225 6 vir1    18.254    0.119 
225 4 vir4    0.044     0.044 
225 4 vir1    0.069     0.056 
90 18 vir1    2725.18   3106.22 
90 18 vir4    3600      3600.04 
90 10 vir1    924.73    757.183 
90 2 vir1     0.008     0.012 
90 10 vir4    2.384     2.782 
90 2 vir4     0.011     0.01 
225 2 vir1    0.019     0.018 
225 2 vir4    0.015     0.017 
180 6 vir4    1.589     1.661 
180 6 vir1    4.101     4.195 
135 18 vir4   3600.07   3600.07 
135 18 vir1   3600.01   2372.34 
135 4 vir1    0.039     0.039 
270 16 vir1   3600.05   3600.12 
135 4 vir4    0.186     0.19 
270 16 vir4   3600.27   3600.1 
180 18 vir1   152.524   154.68 
180 18 vir4   3600.06   3600.03 
135 8 vir4    10.777    9.668 
135 8 vir1    7.56      27.815 
180 8 vir1    13.294    10.711 
180 8 vir4    2.765     2.861 
225 8 vir1    13.485    8.35 
225 8 vir4    2.024     1.159 
135 6 vir1    7.279     4.693 
135 6 vir4    0.692     0.715 
225 10 vir1   140.018   23.054 
225 10 vir4   8.31      7.619 
90 4 vir4     0.195     0.209 
90 4 vir1     0.188     0.325 
90 8 vir1     0.976     1.738 
90 8 vir4     0.848     0.924 
270 10 vir1   3600.11   3600.08 
270 10 vir4   14.595    15.062 
270 18 vir1   3600.19   2060.24 
270 18 vir4   3600.17   3600.04 
270 6 vir4    1.489     1.521 
270 12 vir4   3600.09   3600.01 
225 18 vir1   285.184   237.139 
270 6 vir1    6.438     3.995 
225 18 vir4   3600.04   3600.12 
270 12 vir1   135.052   140.637 
225 16 vir1   3600.05   3600.13 
225 16 vir4   1986.1    1906.14 
135 12 vir1   88.696    89.937 
225 14 vir4   3600.04   3600.01 
135 12 vir4   3600.03   3600.01 
225 14 vir1   162.092   96.277 
90 14 vir4    3600.01   3600 
270 4 vir4    1.512     1.603 
90 14 vir1    123.935   157.564 
270 4 vir1    0.071     0.041 
180 4 vir4    0.45      0.471 
180 4 vir1    0.05      0.045 
135 16 vir4   1499.77   1318.16 
135 16 vir1   3600.08   3600.01 
270 8 vir1    7.537     6.939 
270 8 vir4    6.886     7.338 
135 2 vir4    0.012     0.011 
180 2 vir1    0.014     0.015 
180 2 vir4    0.014     0.012 
135 2 vir1    0.012     0.008 
90 16 vir1    3600.01   3600 
90 16 vir4    674.676   667.294 
225 12 vir4   3600.02   3600.01 
180 14 vir4   3600.06   3600.02 
225 12 vir1   26.746    31.207 
180 14 vir1   193.398   529.297 
270 14 vir4   3600.04   3600.06 
135 14 vir1   370.516   345.705 
270 14 vir1   347.277   3600.02 
135 14 vir4   3600.05   3600.01 
90 12 vir4    2407.27   1958.02 
90 12 vir1    4.021     5.764 
90 6 vir4     0.735     0.819 
90 6 vir1     1.049     4.12 
180 16 vir1   3600.12   3600 
180 10 vir1   69.641    64.634 
180 16 vir4   3600.06   3600.03 
180 10 vir4   5.952     6.061 
